04-13 21:08:38	##### arguments #####
04-13 21:08:38	dataset: cifar10
04-13 21:08:38	model_config: config/model/wrn-16-1.json
04-13 21:08:38	-- num_layer: 16
04-13 21:08:38	-- widening_factor: 1
04-13 21:08:38	run_config: config/run/std_train.json
04-13 21:08:38	-- batch_size_train: 128
04-13 21:08:38	-- batch_size_eval: 256
04-13 21:08:38	-- num_epochs: 100
04-13 21:08:38	-- learning_rate: 0.1
04-13 21:08:38	-- learning_rate_scheduler: cyclicLR
04-13 21:08:38	-- momentum: 0.9
04-13 21:08:38	-- weight_decay: 0.0005
04-13 21:08:38	-- dropout_rate: 0
04-13 21:08:38	device: cuda (1 GPUs)
04-13 21:08:38	output_path: results/cifar10/baselines/standard/wrn-16-1
04-13 21:08:38	log_file: results/cifar10/baselines/standard/wrn-16-1/std_train_wrn_log.txt

04-13 21:08:38	start loading datasets: cifar10
04-13 21:08:39	loaded 50000 dataset_train samples
04-13 21:08:39	loaded 10000 dataset_test samples
04-13 21:08:39	elapsed time: 0:00:01.187427

04-13 21:08:39	start initializing a model
04-13 21:08:39	end initializing a model
04-13 21:08:39	elapsed time:0:00:00.009536

04-13 21:08:39	start setting trainer configurations
04-13 21:08:43	end setting trainer configurations
04-13 21:08:43	elapsed time:0:00:03.954326

04-13 21:08:43	start training a model
04-13 21:08:43	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 21:08:58	001	train	2.2152	0.1889	|	test	1.9586	0.2877
04-13 21:09:12	002	train	1.7711	0.3401	|	test	1.6364	0.3930
04-13 21:09:26	003	train	1.5436	0.4282	|	test	1.4470	0.4746
04-13 21:09:40	004	train	1.3686	0.4994	|	test	1.3091	0.5261
04-13 21:09:53	005	train	1.2065	0.5641	|	test	1.0851	0.6105
04-13 21:10:07	006	train	1.0718	0.6164	|	test	1.1054	0.6084
04-13 21:10:21	007	train	0.9792	0.6515	|	test	0.9341	0.6625
04-13 21:10:35	008	train	0.9080	0.6776	|	test	0.9280	0.6725
04-13 21:10:50	009	train	0.8391	0.7053	|	test	0.9723	0.6619
04-13 21:11:03	010	train	0.7844	0.7237	|	test	0.9209	0.6842
04-13 21:11:18	011	train	0.7351	0.7416	|	test	0.7418	0.7433
04-13 21:11:32	012	train	0.6908	0.7594	|	test	0.7088	0.7567
04-13 21:11:46	013	train	0.6580	0.7729	|	test	0.7212	0.7438
04-13 21:11:59	014	train	0.6289	0.7797	|	test	0.6766	0.7642
04-13 21:12:13	015	train	0.6014	0.7911	|	test	0.5970	0.7947
04-13 21:12:27	016	train	0.5803	0.7989	|	test	0.6251	0.7845
04-13 21:12:41	017	train	0.5587	0.8068	|	test	0.6914	0.7639
04-13 21:12:55	018	train	0.5425	0.8125	|	test	0.6489	0.7818
04-13 21:13:09	019	train	0.5266	0.8192	|	test	0.5866	0.7973
04-13 21:13:24	020	train	0.5169	0.8194	|	test	0.9261	0.7223
04-13 21:13:38	021	train	0.5033	0.8269	|	test	0.7412	0.7610
04-13 21:13:52	022	train	0.4936	0.8280	|	test	0.5114	0.8257
04-13 21:14:06	023	train	0.4807	0.8363	|	test	0.5131	0.8198
04-13 21:14:20	024	train	0.4716	0.8381	|	test	0.5944	0.8018
04-13 21:14:34	025	train	0.4657	0.8395	|	test	0.5830	0.7965
04-13 21:14:47	026	train	0.4643	0.8393	|	test	0.5861	0.7994
04-13 21:15:01	027	train	0.4536	0.8433	|	test	0.5264	0.8233
04-13 21:15:15	028	train	0.4467	0.8460	|	test	0.6279	0.7859
04-13 21:15:29	029	train	0.4483	0.8460	|	test	0.5262	0.8197
04-13 21:15:43	030	train	0.4394	0.8483	|	test	0.9096	0.7261
04-13 21:15:57	031	train	0.4369	0.8498	|	test	0.5639	0.8115
04-13 21:16:11	032	train	0.4315	0.8510	|	test	0.6973	0.7606
04-13 21:16:25	033	train	0.4291	0.8515	|	test	0.5560	0.8155
04-13 21:16:39	034	train	0.4304	0.8503	|	test	0.6016	0.8008
04-13 21:16:53	035	train	0.4223	0.8545	|	test	0.5262	0.8246
04-13 21:17:07	036	train	0.4260	0.8536	|	test	0.5897	0.8069
04-13 21:17:21	037	train	0.4195	0.8541	|	test	0.6865	0.7764
04-13 21:17:35	038	train	0.4198	0.8552	|	test	0.6511	0.7883
04-13 21:17:49	039	train	0.4153	0.8566	|	test	0.5014	0.8336
04-13 21:18:03	040	train	0.4203	0.8545	|	test	0.6425	0.7787
04-13 21:18:17	041	train	0.4138	0.8570	|	test	0.5088	0.8315
04-13 21:18:31	042	train	0.4086	0.8589	|	test	0.5450	0.8146
04-13 21:18:45	043	train	0.4107	0.8593	|	test	0.5940	0.8070
04-13 21:18:59	044	train	0.4064	0.8605	|	test	0.9209	0.7243
04-13 21:19:14	045	train	0.4077	0.8596	|	test	0.5623	0.8140
04-13 21:19:27	046	train	0.4050	0.8607	|	test	1.1361	0.6910
04-13 21:19:41	047	train	0.4082	0.8590	|	test	0.5878	0.8096
04-13 21:19:55	048	train	0.4008	0.8621	|	test	0.5999	0.8032
04-13 21:20:09	049	train	0.4026	0.8609	|	test	0.5165	0.8282
04-13 21:20:23	050	train	0.4001	0.8613	|	test	1.0216	0.7040
04-13 21:20:37	051	train	0.3980	0.8631	|	test	0.5027	0.8305
04-13 21:20:51	052	train	0.3945	0.8652	|	test	0.7313	0.7760
04-13 21:21:05	053	train	0.3943	0.8636	|	test	0.5231	0.8246
04-13 21:21:19	054	train	0.3862	0.8671	|	test	0.4656	0.8405
04-13 21:21:33	055	train	0.3835	0.8670	|	test	0.5214	0.8252
04-13 21:21:47	056	train	0.3806	0.8686	|	test	0.5373	0.8191
04-13 21:22:01	057	train	0.3763	0.8715	|	test	0.4954	0.8323
04-13 21:22:15	058	train	0.3756	0.8709	|	test	0.5093	0.8337
04-13 21:22:29	059	train	0.3715	0.8734	|	test	0.5036	0.8330
04-13 21:22:43	060	train	0.3706	0.8729	|	test	0.4770	0.8378
04-13 21:22:57	061	train	0.3654	0.8732	|	test	0.4936	0.8363
04-13 21:23:10	062	train	0.3603	0.8754	|	test	0.5087	0.8289
04-13 21:23:24	063	train	0.3621	0.8746	|	test	0.5437	0.8158
04-13 21:23:38	064	train	0.3598	0.8761	|	test	0.4880	0.8419
04-13 21:23:52	065	train	0.3566	0.8752	|	test	0.6842	0.7752
04-13 21:24:06	066	train	0.3509	0.8789	|	test	0.4384	0.8502
04-13 21:24:20	067	train	0.3493	0.8782	|	test	0.5006	0.8373
04-13 21:24:34	068	train	0.3436	0.8815	|	test	0.5568	0.8225
