04-24 10:22:05	##### arguments #####
04-24 10:22:05	dataset: cifar100
04-24 10:22:05	model_config: config/model/wrn-16-4.json
04-24 10:22:05	-- num_layer: 16
04-24 10:22:05	-- widening_factor: 4
04-24 10:22:05	run_config: config/run/adv_train_fgsm.json
04-24 10:22:05	-- batch_size_train: 128
04-24 10:22:05	-- batch_size_eval: 256
04-24 10:22:05	-- num_epochs: 100
04-24 10:22:05	-- learning_rate: 0.1
04-24 10:22:05	-- learning_rate_scheduler: cyclicLR
04-24 10:22:05	-- momentum: 0.9
04-24 10:22:05	-- weight_decay: 0.0005
04-24 10:22:05	-- dropout_rate: 0
04-24 10:22:05	-- adv_train_type: fgsm
04-24 10:22:05	-- epsilon_train: 8
04-24 10:22:05	-- alpha_train: 2
04-24 10:22:05	-- epsilon_eval: 8
04-24 10:22:05	-- alpha_eval: 2
04-24 10:22:05	-- restarts_eval: 1
04-24 10:22:05	-- attack_iters_eval: 5
04-24 10:22:05	device: cuda (1 GPUs)
04-24 10:22:05	output_path: results/cifar100/baselines/adversarial_fgsm/wrn-16-4
04-24 10:22:05	log_file: results/cifar100/baselines/adversarial_fgsm/wrn-16-4/adv_train_wrn_log.txt

04-24 10:22:05	start loading datasets: cifar100
04-24 10:22:07	loaded 50000 dataset_train samples
04-24 10:22:07	loaded 10000 dataset_test samples
04-24 10:22:07	elapsed time: 0:00:01.472818

04-24 10:22:07	start initializing a model
04-24 10:22:07	end initializing a model
04-24 10:22:07	elapsed time:0:00:00.047063

04-24 10:22:07	start setting trainer configurations
04-24 10:22:11	end setting trainer configurations
04-24 10:22:11	elapsed time:0:00:03.991016

04-24 10:22:11	start training a model
04-24 10:22:11	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-24 10:22:58	001	train	4.9080	0.0083	|	test	4.4383	0.0115
04-24 10:23:46	002	train	4.4215	0.0383	|	test	4.2746	0.0304
04-24 10:24:33	003	train	4.2052	0.0680	|	test	3.9817	0.0484
04-24 10:25:21	004	train	3.9635	0.0979	|	test	3.7484	0.0645
04-24 10:26:08	005	train	3.7726	0.1254	|	test	3.5417	0.0775
04-24 10:26:55	006	train	3.6023	0.1520	|	test	3.3838	0.0873
04-24 10:27:43	007	train	3.4485	0.1781	|	test	3.2259	0.0985
04-24 10:28:31	008	train	3.3086	0.2011	|	test	3.1228	0.1011
04-24 10:29:18	009	train	3.1777	0.2240	|	test	2.9853	0.1130
04-24 10:30:06	010	train	3.0531	0.2447	|	test	2.8260	0.1192
04-24 10:30:53	011	train	2.9314	0.2671	|	test	2.7678	0.1210
04-24 10:31:41	012	train	2.8132	0.2873	|	test	2.6793	0.1230
04-24 10:32:28	013	train	2.7146	0.3048	|	test	2.6411	0.1249
04-24 10:33:15	014	train	2.6233	0.3234	|	test	2.4996	0.1317
04-24 10:34:03	015	train	2.5403	0.3400	|	test	2.4427	0.1278
04-24 10:34:50	016	train	2.4631	0.3541	|	test	2.4116	0.1321
04-24 10:35:38	017	train	2.4024	0.3692	|	test	2.3872	0.1346
04-24 10:36:25	018	train	2.3375	0.3801	|	test	2.3109	0.1405
04-24 10:37:13	019	train	2.2860	0.3914	|	test	2.2719	0.1486
04-24 10:38:00	020	train	2.2295	0.4023	|	test	2.2772	0.1534
04-24 10:38:48	021	train	2.1903	0.4103	|	test	2.2410	0.1377
04-24 10:39:35	022	train	2.1495	0.4200	|	test	2.2260	0.1472
04-24 10:40:23	023	train	2.1019	0.4294	|	test	2.2047	0.1407
