04-14 19:08:32	##### arguments #####
04-14 19:08:32	dataset: cifar10
04-14 19:08:32	model_config: config/model/wrn-40-2.json
04-14 19:08:32	-- num_layer: 40
04-14 19:08:32	-- widening_factor: 2
04-14 19:08:32	run_config: config/run/adv_train.json
04-14 19:08:32	-- batch_size_train: 128
04-14 19:08:32	-- batch_size_eval: 256
04-14 19:08:32	-- num_epochs: 100
04-14 19:08:32	-- learning_rate: 0.1
04-14 19:08:32	-- learning_rate_scheduler: cyclicLR
04-14 19:08:32	-- momentum: 0.9
04-14 19:08:33	-- weight_decay: 0.0005
04-14 19:08:33	-- dropout_rate: 0
04-14 19:08:33	-- adv_train_type: pgd
04-14 19:08:33	-- epsilon_train: 8
04-14 19:08:33	-- alpha_train: 2
04-14 19:08:33	-- restarts_train: 1
04-14 19:08:33	-- attack_iters_train: 7
04-14 19:08:33	-- epsilon_eval: 8
04-14 19:08:33	-- alpha_eval: 2
04-14 19:08:33	-- restarts_eval: 1
04-14 19:08:33	-- attack_iters_eval: 5
04-14 19:08:33	device: cuda (1 GPUs)
04-14 19:08:33	output_path: results/cifar10/baselines/adversarial/wrn-40-2
04-14 19:08:33	log_file: results/cifar10/baselines/adversarial/wrn-40-2/adv_train_wrn_log.txt

04-14 19:08:33	start loading datasets: cifar10
04-14 19:08:34	loaded 50000 dataset_train samples
04-14 19:08:34	loaded 10000 dataset_test samples
04-14 19:08:34	elapsed time: 0:00:01.204029

04-14 19:08:34	start initializing a model
04-14 19:08:34	end initializing a model
04-14 19:08:34	elapsed time:0:00:00.047785

04-14 19:08:34	start setting trainer configurations
04-14 19:08:38	end setting trainer configurations
04-14 19:08:38	elapsed time:0:00:03.876876

04-14 19:08:38	start training a model
04-14 19:08:38	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-14 19:11:32	001	train	2.4656	0.0357	|	test	2.2939	0.0066
04-14 19:14:25	002	train	2.3098	0.0736	|	test	2.2891	0.0168
04-14 19:17:19	003	train	2.2999	0.0990	|	test	2.2859	0.0995
04-14 19:20:13	004	train	2.2981	0.1069	|	test	2.2772	0.1107
04-14 19:23:07	005	train	2.2959	0.1123	|	test	2.2793	0.1128
04-14 19:26:01	006	train	2.2943	0.1095	|	test	2.2821	0.1019
04-14 19:28:55	007	train	2.2941	0.1105	|	test	2.2762	0.1114
04-14 19:31:49	008	train	2.2907	0.1120	|	test	2.2742	0.1143
04-14 19:34:43	009	train	2.2909	0.1147	|	test	2.2698	0.1154
04-14 19:37:37	010	train	2.2889	0.1137	|	test	2.2570	0.1195
04-14 19:40:30	011	train	2.2875	0.1132	|	test	2.2655	0.1192
04-14 19:43:24	012	train	2.2866	0.1130	|	test	2.2602	0.1169
04-14 19:46:18	013	train	2.2859	0.1157	|	test	2.2618	0.1213
04-14 19:49:11	014	train	2.2502	0.1401	|	test	2.0746	0.1975
04-14 19:52:05	015	train	2.1222	0.1977	|	test	1.9104	0.2412
04-14 19:54:59	016	train	2.0395	0.2304	|	test	1.8078	0.2854
04-14 19:57:53	017	train	1.9821	0.2532	|	test	1.7553	0.3086
04-14 20:00:46	018	train	1.9392	0.2710	|	test	1.6681	0.3213
04-14 20:03:40	019	train	1.9022	0.2840	|	test	1.6433	0.3295
04-14 20:06:34	020	train	1.8739	0.2949	|	test	1.5856	0.3460
04-14 20:09:28	021	train	1.8394	0.3064	|	test	1.5368	0.3579
04-14 20:12:21	022	train	1.8061	0.3176	|	test	1.5210	0.3766
04-14 20:15:15	023	train	1.7765	0.3304	|	test	1.4701	0.3733
04-14 20:18:09	024	train	1.7518	0.3404	|	test	1.4389	0.3964
04-14 20:21:03	025	train	1.7182	0.3509	|	test	1.4466	0.3984
04-14 20:23:58	026	train	1.6916	0.3616	|	test	1.4011	0.4143
04-14 20:26:53	027	train	1.6642	0.3714	|	test	1.3459	0.4160
04-14 20:29:48	028	train	1.6395	0.3782	|	test	1.3013	0.4312
04-14 20:32:43	029	train	1.6163	0.3883	|	test	1.3066	0.4426
04-14 20:35:38	030	train	1.5962	0.3976	|	test	1.2650	0.4444
04-14 20:38:33	031	train	1.5772	0.4023	|	test	1.2680	0.4418
04-14 20:41:27	032	train	1.5599	0.4079	|	test	1.2337	0.4663
04-14 20:44:22	033	train	1.5468	0.4138	|	test	1.2408	0.4557
04-14 20:47:17	034	train	1.5363	0.4186	|	test	1.2218	0.4580
04-14 20:50:12	035	train	1.5210	0.4241	|	test	1.2458	0.4810
04-14 20:53:07	036	train	1.5055	0.4269	|	test	1.2326	0.4627
04-14 20:56:02	037	train	1.4975	0.4302	|	test	1.1810	0.4738
04-14 20:58:57	038	train	1.4872	0.4345	|	test	1.1727	0.4798
04-14 21:01:52	039	train	1.4800	0.4370	|	test	1.1757	0.4763
04-14 21:04:46	040	train	1.4715	0.4409	|	test	1.1811	0.4778
04-14 21:07:40	041	train	1.4645	0.4433	|	test	1.1417	0.4940
04-14 21:10:35	042	train	1.4565	0.4445	|	test	1.1482	0.5003
04-14 21:13:28	043	train	1.4510	0.4474	|	test	1.1314	0.4941
04-14 21:16:22	044	train	1.4461	0.4505	|	test	1.1581	0.4841
04-14 21:19:16	045	train	1.4387	0.4525	|	test	1.1250	0.4880
04-14 21:22:10	046	train	1.4299	0.4538	|	test	1.1293	0.4999
04-14 21:25:04	047	train	1.4253	0.4568	|	test	1.1432	0.5078
04-14 21:27:58	048	train	1.4231	0.4583	|	test	1.1245	0.4969
04-14 21:30:52	049	train	1.4190	0.4569	|	test	1.1280	0.4882
04-14 21:33:45	050	train	1.4121	0.4627	|	test	1.1091	0.4886
04-14 21:36:39	051	train	1.4090	0.4621	|	test	1.0987	0.4847
04-14 21:39:33	052	train	1.4018	0.4658	|	test	1.1204	0.4903
04-14 21:42:27	053	train	1.3937	0.4693	|	test	1.1216	0.5100
04-14 21:45:21	054	train	1.3873	0.4696	|	test	1.0762	0.5156
