04-24 03:46:09	##### arguments #####
04-24 03:46:09	dataset: cifar100
04-24 03:46:09	model_config: config/model/wrn-16-2.json
04-24 03:46:09	-- num_layer: 16
04-24 03:46:09	-- widening_factor: 2
04-24 03:46:09	run_config: config/run/adv_train.json
04-24 03:46:09	-- batch_size_train: 128
04-24 03:46:09	-- batch_size_eval: 256
04-24 03:46:09	-- num_epochs: 100
04-24 03:46:09	-- learning_rate: 0.1
04-24 03:46:09	-- learning_rate_scheduler: cyclicLR
04-24 03:46:09	-- momentum: 0.9
04-24 03:46:09	-- weight_decay: 0.0005
04-24 03:46:09	-- dropout_rate: 0
04-24 03:46:09	-- adv_train_type: pgd
04-24 03:46:09	-- epsilon_train: 8
04-24 03:46:09	-- alpha_train: 2
04-24 03:46:09	-- restarts_train: 1
04-24 03:46:09	-- attack_iters_train: 7
04-24 03:46:09	-- epsilon_eval: 8
04-24 03:46:09	-- alpha_eval: 2
04-24 03:46:09	-- restarts_eval: 1
04-24 03:46:09	-- attack_iters_eval: 5
04-24 03:46:09	device: cuda (1 GPUs)
04-24 03:46:09	output_path: results/cifar100/baselines/adversarial/wrn-16-2
04-24 03:46:09	log_file: results/cifar100/baselines/adversarial/wrn-16-2/adv_train_wrn_log.txt

04-24 03:46:09	start loading datasets: cifar100
04-24 03:46:11	loaded 50000 dataset_train samples
04-24 03:46:11	loaded 10000 dataset_test samples
04-24 03:46:11	elapsed time: 0:00:01.483056

04-24 03:46:11	start initializing a model
04-24 03:46:11	end initializing a model
04-24 03:46:11	elapsed time:0:00:00.017867

04-24 03:46:11	start setting trainer configurations
04-24 03:46:15	end setting trainer configurations
04-24 03:46:15	elapsed time:0:00:03.932827

04-24 03:46:15	start training a model
04-24 03:46:15	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-24 03:47:20	001	train	5.2215	0.0083	|	test	4.4906	0.0231
04-24 03:48:25	002	train	4.5374	0.0264	|	test	4.3973	0.0280
04-24 03:49:30	003	train	4.4807	0.0306	|	test	4.3418	0.0339
04-24 03:50:36	004	train	4.4224	0.0384	|	test	4.2460	0.0426
04-24 03:51:41	005	train	4.3499	0.0465	|	test	4.1311	0.0540
04-24 03:52:46	006	train	4.2732	0.0534	|	test	4.0376	0.0637
04-24 03:53:51	007	train	4.2032	0.0642	|	test	3.9307	0.0783
04-24 03:54:56	008	train	4.1425	0.0706	|	test	3.8467	0.0851
04-24 03:56:01	009	train	4.0909	0.0804	|	test	3.7740	0.0982
04-24 03:57:06	010	train	4.0418	0.0864	|	test	3.7030	0.1055
04-24 03:58:12	011	train	3.9949	0.0923	|	test	3.6574	0.1134
04-24 03:59:17	012	train	3.9534	0.0992	|	test	3.6000	0.1179
04-24 04:00:22	013	train	3.9193	0.1035	|	test	3.5345	0.1307
04-24 04:01:28	014	train	3.8873	0.1090	|	test	3.5039	0.1255
04-24 04:02:33	015	train	3.8549	0.1141	|	test	3.4430	0.1340
04-24 04:03:38	016	train	3.8214	0.1204	|	test	3.3800	0.1424
04-24 04:04:43	017	train	3.7900	0.1263	|	test	3.3751	0.1537
04-24 04:05:49	018	train	3.7550	0.1336	|	test	3.3205	0.1500
04-24 04:06:54	019	train	3.7252	0.1354	|	test	3.2535	0.1654
04-24 04:08:00	020	train	3.6949	0.1419	|	test	3.1936	0.1687
04-24 04:09:06	021	train	3.6679	0.1454	|	test	3.1695	0.1691
04-24 04:10:11	022	train	3.6401	0.1502	|	test	3.1413	0.1742
04-24 04:11:16	023	train	3.6152	0.1530	|	test	3.0816	0.1837
04-24 04:12:21	024	train	3.5930	0.1592	|	test	3.0486	0.1768
04-24 04:13:26	025	train	3.5704	0.1608	|	test	3.0369	0.1889
04-24 04:14:31	026	train	3.5471	0.1660	|	test	3.0047	0.1971
04-24 04:15:36	027	train	3.5303	0.1690	|	test	2.9744	0.1981
04-24 04:16:42	028	train	3.5129	0.1710	|	test	2.9398	0.1995
