04-24 14:42:25	##### arguments #####
04-24 14:42:25	dataset: cifar100
04-24 14:42:25	model_config: config/model/wrn-16-8.json
04-24 14:42:25	-- num_layer: 16
04-24 14:42:25	-- widening_factor: 8
04-24 14:42:25	run_config: config/run/adv_train_fgsm.json
04-24 14:42:25	-- batch_size_train: 128
04-24 14:42:25	-- batch_size_eval: 256
04-24 14:42:25	-- num_epochs: 100
04-24 14:42:25	-- learning_rate: 0.1
04-24 14:42:25	-- learning_rate_scheduler: cyclicLR
04-24 14:42:25	-- momentum: 0.9
04-24 14:42:25	-- weight_decay: 0.0005
04-24 14:42:25	-- dropout_rate: 0
04-24 14:42:25	-- adv_train_type: fgsm
04-24 14:42:25	-- epsilon_train: 8
04-24 14:42:25	-- alpha_train: 2
04-24 14:42:25	-- epsilon_eval: 8
04-24 14:42:25	-- alpha_eval: 2
04-24 14:42:25	-- restarts_eval: 1
04-24 14:42:25	-- attack_iters_eval: 5
04-24 14:42:25	device: cuda (1 GPUs)
04-24 14:42:25	output_path: results/cifar100/baselines/adversarial_fgsm/wrn-16-8
04-24 14:42:25	log_file: results/cifar100/baselines/adversarial_fgsm/wrn-16-8/adv_train_wrn_log.txt

04-24 14:42:25	start loading datasets: cifar100
04-24 14:42:27	loaded 50000 dataset_train samples
04-24 14:42:27	loaded 10000 dataset_test samples
04-24 14:42:27	elapsed time: 0:00:01.505227

04-24 14:42:27	start initializing a model
04-24 14:42:27	end initializing a model
04-24 14:42:27	elapsed time:0:00:00.173745

04-24 14:42:27	start setting trainer configurations
04-24 14:42:31	end setting trainer configurations
04-24 14:42:31	elapsed time:0:00:04.009035

04-24 14:42:31	start training a model
04-24 14:42:31	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-24 14:44:54	001	train	4.8303	0.0153	|	test	4.3463	0.0197
04-24 14:47:18	002	train	4.2617	0.0583	|	test	3.9957	0.0487
04-24 14:49:41	003	train	3.9676	0.0977	|	test	3.7268	0.0645
04-24 14:52:05	004	train	3.7452	0.1310	|	test	3.5155	0.0880
04-24 14:54:28	005	train	3.5384	0.1654	|	test	3.3130	0.0990
04-24 14:56:52	006	train	3.3557	0.1939	|	test	3.1237	0.1030
04-24 14:59:15	007	train	3.1887	0.2227	|	test	2.9931	0.1159
04-24 15:01:39	008	train	3.0257	0.2505	|	test	2.8203	0.1213
04-24 15:04:03	009	train	2.8744	0.2793	|	test	2.7264	0.1238
04-24 15:06:26	010	train	2.7431	0.3023	|	test	2.5965	0.1328
04-24 15:08:50	011	train	2.6163	0.3260	|	test	2.5128	0.1387
04-24 15:11:14	012	train	2.5064	0.3468	|	test	2.4369	0.1372
04-24 15:13:37	013	train	2.4104	0.3684	|	test	2.4086	0.1386
04-24 15:16:01	014	train	2.3282	0.3855	|	test	2.2828	0.1521
04-24 15:18:25	015	train	2.2499	0.4019	|	test	2.2599	0.1452
04-24 15:20:49	016	train	2.1745	0.4159	|	test	2.2520	0.1475
04-24 15:23:12	017	train	2.1172	0.4285	|	test	2.2202	0.1399
04-24 15:25:36	018	train	2.0485	0.4439	|	test	2.1814	0.1499
04-24 15:27:59	019	train	1.9960	0.4562	|	test	2.1324	0.1612
04-24 15:30:23	020	train	1.9468	0.4651	|	test	2.1477	0.1502
04-24 15:32:46	021	train	1.8951	0.4765	|	test	2.1128	0.1486
04-24 15:35:10	022	train	1.8458	0.4908	|	test	2.1224	0.1452
04-24 15:37:33	023	train	1.8008	0.4959	|	test	2.1237	0.1510
