04-15 18:41:30	##### arguments #####
04-15 18:41:30	dataset: cifar10
04-15 18:41:30	model_config: config/model/wrn-40-8.json
04-15 18:41:30	-- num_layer: 40
04-15 18:41:30	-- widening_factor: 8
04-15 18:41:30	run_config: config/run/adv_train_fgsm.json
04-15 18:41:30	-- batch_size_train: 128
04-15 18:41:30	-- batch_size_eval: 256
04-15 18:41:30	-- num_epochs: 100
04-15 18:41:30	-- learning_rate: 0.1
04-15 18:41:30	-- learning_rate_scheduler: cyclicLR
04-15 18:41:30	-- momentum: 0.9
04-15 18:41:30	-- weight_decay: 0.0005
04-15 18:41:30	-- dropout_rate: 0
04-15 18:41:30	-- adv_train_type: fgsm
04-15 18:41:30	-- epsilon_train: 8
04-15 18:41:30	-- alpha_train: 2
04-15 18:41:30	-- epsilon_eval: 8
04-15 18:41:30	-- alpha_eval: 2
04-15 18:41:30	-- restarts_eval: 1
04-15 18:41:30	-- attack_iters_eval: 5
04-15 18:41:30	device: cuda (1 GPUs)
04-15 18:41:30	output_path: results/cifar10/baselines/adversarial_fgsm/wrn-40-8
04-15 18:41:30	log_file: results/cifar10/baselines/adversarial_fgsm/wrn-40-8/adv_train_wrn_log.txt

04-15 18:41:30	start loading datasets: cifar10
04-15 18:41:31	loaded 50000 dataset_train samples
04-15 18:41:31	loaded 10000 dataset_test samples
04-15 18:41:31	elapsed time: 0:00:01.208410

04-15 18:41:31	start initializing a model
04-15 18:41:31	end initializing a model
04-15 18:41:31	elapsed time:0:00:00.551136

04-15 18:41:31	start setting trainer configurations
04-15 18:41:36	end setting trainer configurations
04-15 18:41:36	elapsed time:0:00:04.050135

04-15 18:41:36	start training a model
04-15 18:41:36	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-15 18:48:59	001	train	2.2661	0.1128	|	test	1.9181	0.0982
04-15 18:56:22	002	train	1.8731	0.2718	|	test	1.7513	0.1833
04-15 19:03:45	003	train	1.7608	0.3299	|	test	1.6769	0.1902
04-15 19:11:08	004	train	1.6594	0.3714	|	test	1.5896	0.2070
04-15 19:18:31	005	train	1.5578	0.4134	|	test	1.5698	0.1928
04-15 19:25:55	006	train	1.4550	0.4536	|	test	1.4546	0.2118
04-15 19:33:18	007	train	1.3383	0.4999	|	test	1.3642	0.2391
04-15 19:40:42	008	train	1.2311	0.5397	|	test	1.3195	0.2456
04-15 19:48:05	009	train	1.1314	0.5791	|	test	1.2422	0.2678
04-15 19:55:29	010	train	1.0513	0.6109	|	test	1.2099	0.2673
04-15 20:02:52	011	train	0.9831	0.6368	|	test	1.1847	0.2911
04-15 20:10:16	012	train	0.9241	0.6583	|	test	1.1546	0.2989
04-15 20:17:39	013	train	0.8810	0.6749	|	test	1.1218	0.2936
04-15 20:25:03	014	train	0.8360	0.6935	|	test	1.1004	0.3045
04-15 20:32:26	015	train	0.7987	0.7032	|	test	1.1063	0.3273
04-15 20:39:50	016	train	0.7651	0.7185	|	test	1.1575	0.2972
04-15 20:47:13	017	train	0.7318	0.7292	|	test	1.0923	0.3212
04-15 20:54:37	018	train	0.7120	0.7366	|	test	1.0852	0.3203
04-15 21:02:00	019	train	0.6889	0.7463	|	test	1.0861	0.3187
04-15 21:09:24	020	train	0.6694	0.7534	|	test	1.1071	0.3003
04-15 21:16:47	021	train	0.6398	0.7655	|	test	1.0927	0.3118
04-15 21:24:11	022	train	0.6248	0.7684	|	test	1.0721	0.3262
04-15 21:31:34	023	train	0.6121	0.7750	|	test	1.0690	0.3157
04-15 21:38:58	024	train	0.5913	0.7828	|	test	1.0928	0.3094
04-15 21:46:21	025	train	0.5767	0.7872	|	test	1.0715	0.3138
04-15 21:53:44	026	train	0.5585	0.7949	|	test	1.0733	0.3136
04-15 22:01:08	027	train	0.5455	0.7981	|	test	1.1030	0.2950
04-15 22:08:31	028	train	0.5366	0.7997	|	test	1.0615	0.3198
04-15 22:15:54	029	train	0.5195	0.8073	|	test	1.1090	0.3001
04-15 22:23:17	030	train	0.5114	0.8086	|	test	1.0609	0.3268
04-15 22:30:41	031	train	0.4942	0.8158	|	test	1.0585	0.3233
04-15 22:38:04	032	train	0.4879	0.8197	|	test	1.0615	0.3331
04-15 22:45:27	033	train	0.4770	0.8236	|	test	1.0854	0.3085
04-15 22:52:50	034	train	0.4678	0.8271	|	test	1.0553	0.3387
04-15 23:00:13	035	train	0.4601	0.8297	|	test	1.0609	0.3327
04-15 23:07:36	036	train	0.4541	0.8318	|	test	1.0831	0.3189
04-15 23:14:59	037	train	0.4526	0.8335	|	test	1.0558	0.3385
04-15 23:22:22	038	train	0.4492	0.8344	|	test	1.0805	0.3238
04-15 23:29:45	039	train	0.4391	0.8373	|	test	1.1214	0.3123
04-15 23:37:08	040	train	0.4395	0.8377	|	test	1.1123	0.3048
04-15 23:44:31	041	train	0.4335	0.8392	|	test	1.0814	0.3304
04-15 23:51:54	042	train	0.4278	0.8433	|	test	1.0860	0.3200
04-15 23:59:17	043	train	0.4233	0.8441	|	test	1.1146	0.3172
04-16 00:06:40	044	train	0.4263	0.8418	|	test	1.1103	0.3265
04-16 00:14:03	045	train	0.4174	0.8451	|	test	1.0968	0.3135
04-16 00:21:26	046	train	0.4166	0.8461	|	test	1.1070	0.3120
04-16 00:28:49	047	train	0.4126	0.8475	|	test	1.0806	0.3274
04-16 00:36:12	048	train	0.4089	0.8490	|	test	1.0855	0.3270
04-16 00:43:35	049	train	0.4074	0.8486	|	test	1.0708	0.3215
04-16 00:50:57	050	train	0.3986	0.8521	|	test	1.1640	0.3001
04-16 00:58:20	051	train	0.4010	0.8531	|	test	1.0951	0.3135
04-16 01:05:43	052	train	0.3901	0.8581	|	test	1.1301	0.3154
04-16 01:13:06	053	train	0.3802	0.8606	|	test	1.1452	0.3221
04-16 01:20:29	054	train	0.3754	0.8626	|	test	1.1120	0.3061
04-16 01:27:52	055	train	0.3669	0.8662	|	test	1.1075	0.3175
04-16 01:35:15	056	train	0.3624	0.8669	|	test	1.0943	0.3182
04-16 01:42:38	057	train	0.3528	0.8709	|	test	1.0999	0.3228
04-16 01:50:00	058	train	0.3467	0.8735	|	test	1.0758	0.3442
04-16 01:57:23	059	train	0.3471	0.8723	|	test	1.0736	0.3344
04-16 02:04:46	060	train	0.3319	0.8774	|	test	1.1288	0.3221
04-16 02:12:09	061	train	0.3250	0.8815	|	test	1.1247	0.3243
04-16 02:19:32	062	train	0.3249	0.8796	|	test	1.0929	0.3265
04-16 02:26:55	063	train	0.3118	0.8861	|	test	1.1027	0.3257
04-16 02:34:17	064	train	0.3072	0.8886	|	test	1.0805	0.3415
04-16 02:41:40	065	train	0.3042	0.8885	|	test	1.1436	0.3151
04-16 02:49:03	066	train	0.2961	0.8921	|	test	1.1276	0.3239
04-16 02:56:26	067	train	0.2889	0.8944	|	test	1.1553	0.3115
04-16 03:03:49	068	train	0.2783	0.8988	|	test	1.1367	0.3286
04-16 03:11:11	069	train	0.2787	0.8984	|	test	1.1575	0.3091
04-16 03:18:34	070	train	0.2723	0.9013	|	test	1.1175	0.3355
04-16 03:25:57	071	train	0.2609	0.9066	|	test	1.1835	0.3149
04-16 03:33:20	072	train	0.2546	0.9068	|	test	1.1215	0.3266
04-16 03:40:43	073	train	0.2528	0.9084	|	test	1.1170	0.3428
04-16 03:48:05	074	train	0.2423	0.9125	|	test	1.1468	0.3378
04-16 03:55:28	075	train	0.2341	0.9155	|	test	1.1552	0.3236
04-16 04:02:51	076	train	0.2280	0.9190	|	test	1.1406	0.3405
04-16 04:10:14	077	train	0.2159	0.9222	|	test	1.1279	0.3456
04-16 04:17:36	078	train	0.2083	0.9259	|	test	1.0919	0.3559
04-16 04:24:59	079	train	0.1995	0.9300	|	test	1.1169	0.3517
04-16 04:32:22	080	train	0.1969	0.9303	|	test	1.1218	0.3522
04-16 04:39:44	081	train	0.1869	0.9324	|	test	1.2172	0.3186
04-16 04:47:07	082	train	0.1812	0.9362	|	test	1.1440	0.3656
04-16 04:54:30	083	train	0.1668	0.9408	|	test	1.1380	0.3684
04-16 05:01:53	084	train	0.1593	0.9456	|	test	1.1673	0.3585
04-16 05:09:15	085	train	0.1503	0.9478	|	test	1.1925	0.3690
04-16 05:16:38	086	train	0.1418	0.9515	|	test	1.1646	0.3652
04-16 05:24:01	087	train	0.1275	0.9567	|	test	1.1855	0.3568
04-16 05:31:23	088	train	0.1216	0.9592	|	test	1.1791	0.3827
04-16 05:38:46	089	train	0.1066	0.9639	|	test	1.1734	0.3976
04-16 05:46:09	090	train	0.0928	0.9696	|	test	1.1803	0.3877
04-16 05:53:32	091	train	0.0864	0.9713	|	test	1.1613	0.4043
04-16 06:00:54	092	train	0.0723	0.9766	|	test	1.2149	0.4144
04-16 06:08:17	093	train	0.0645	0.9787	|	test	1.2162	0.3969
04-16 06:15:40	094	train	0.0496	0.9845	|	test	1.2375	0.4262
04-16 06:23:03	095	train	0.0415	0.9873	|	test	1.2030	0.4371
04-16 06:30:25	096	train	0.0327	0.9900	|	test	1.2057	0.4469
04-16 06:37:48	097	train	0.0215	0.9937	|	test	1.2344	0.4641
04-16 06:45:11	098	train	0.0148	0.9959	|	test	1.2278	0.4789
04-16 06:52:33	099	train	0.0103	0.9975	|	test	1.2040	0.4863
04-16 06:59:56	100	train	0.0067	0.9987	|	test	1.2129	0.4921
04-16 06:59:56	end training a model
04-16 06:59:56	elapsed time:12:18:20.676045

