04-22 17:17:36	##### arguments #####
04-22 17:17:36	dataset: cifar100
04-22 17:17:36	model_config: config/model/wrn-40-4.json
04-22 17:17:36	-- num_layer: 40
04-22 17:17:36	-- widening_factor: 4
04-22 17:17:36	run_config: config/run/adv_train.json
04-22 17:17:36	-- batch_size_train: 128
04-22 17:17:36	-- batch_size_eval: 256
04-22 17:17:36	-- num_epochs: 100
04-22 17:17:36	-- learning_rate: 0.1
04-22 17:17:36	-- learning_rate_scheduler: cyclicLR
04-22 17:17:36	-- momentum: 0.9
04-22 17:17:36	-- weight_decay: 0.0005
04-22 17:17:36	-- dropout_rate: 0
04-22 17:17:36	-- adv_train_type: pgd
04-22 17:17:36	-- epsilon_train: 8
04-22 17:17:36	-- alpha_train: 2
04-22 17:17:36	-- restarts_train: 1
04-22 17:17:36	-- attack_iters_train: 7
04-22 17:17:36	-- epsilon_eval: 8
04-22 17:17:36	-- alpha_eval: 2
04-22 17:17:36	-- restarts_eval: 1
04-22 17:17:36	-- attack_iters_eval: 5
04-22 17:17:36	device: cuda (1 GPUs)
04-22 17:17:36	output_path: results/cifar100/baselines/adversarial/wrn-40-4
04-22 17:17:36	log_file: results/cifar100/baselines/adversarial/wrn-40-4/adv_train_wrn_log.txt

04-22 17:17:36	start loading datasets: cifar100
04-22 17:17:38	loaded 50000 dataset_train samples
04-22 17:17:38	loaded 10000 dataset_test samples
04-22 17:17:38	elapsed time: 0:00:02.188875

04-22 17:17:38	start initializing a model
04-22 17:17:38	end initializing a model
04-22 17:17:38	elapsed time:0:00:00.200228

04-22 17:17:38	start setting trainer configurations
04-22 17:17:44	end setting trainer configurations
04-22 17:17:44	elapsed time:0:00:06.269977

04-22 17:17:44	start training a model
04-22 17:17:44	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-22 17:24:05	001	train	4.8205	0.0086	|	test	4.5841	0.0183
04-22 17:30:24	002	train	4.5571	0.0181	|	test	4.4742	0.0256
04-22 17:37:00	003	train	4.5138	0.0236	|	test	4.4299	0.0232
04-22 17:43:19	004	train	4.4841	0.0267	|	test	4.3738	0.0325
04-22 17:49:38	005	train	4.4632	0.0309	|	test	4.3397	0.0316
04-22 17:55:57	006	train	4.4446	0.0340	|	test	4.3078	0.0397
04-22 18:02:16	007	train	4.4077	0.0390	|	test	4.1782	0.0447
04-22 18:08:35	008	train	4.3232	0.0468	|	test	4.0689	0.0547
04-22 18:14:54	009	train	4.2405	0.0569	|	test	3.9403	0.0683
04-22 18:21:13	010	train	4.1389	0.0728	|	test	3.8134	0.0794
04-22 18:27:32	011	train	4.0672	0.0786	|	test	3.7320	0.0951
04-22 18:33:52	012	train	3.9934	0.0900	|	test	3.6262	0.1098
04-22 18:40:11	013	train	3.9265	0.1008	|	test	3.5250	0.1199
04-22 18:46:30	014	train	3.8675	0.1103	|	test	3.4778	0.1293
04-22 18:52:50	015	train	3.8119	0.1196	|	test	3.3825	0.1476
04-22 18:59:09	016	train	3.7603	0.1299	|	test	3.2830	0.1590
04-22 19:05:28	017	train	3.7082	0.1357	|	test	3.2105	0.1579
04-22 19:11:48	018	train	3.6546	0.1462	|	test	3.1507	0.1742
04-22 19:18:07	019	train	3.6089	0.1540	|	test	3.0850	0.1895
04-22 19:24:27	020	train	3.5597	0.1631	|	test	3.0384	0.1894
04-22 19:30:47	021	train	3.5151	0.1686	|	test	2.9909	0.1941
04-22 19:37:06	022	train	3.4741	0.1768	|	test	2.9055	0.2059
04-22 19:43:26	023	train	3.4324	0.1818	|	test	2.8651	0.2118
04-22 19:49:45	024	train	3.3914	0.1911	|	test	2.8358	0.2228
