04-14 00:51:14	##### arguments #####
04-14 00:51:14	dataset: cifar10
04-14 00:51:14	model_config: config/model/wrn-16-8.json
04-14 00:51:14	-- num_layer: 16
04-14 00:51:14	-- widening_factor: 8
04-14 00:51:14	run_config: config/run/std_train.json
04-14 00:51:14	-- batch_size_train: 128
04-14 00:51:14	-- batch_size_eval: 256
04-14 00:51:14	-- num_epochs: 100
04-14 00:51:14	-- learning_rate: 0.1
04-14 00:51:14	-- learning_rate_scheduler: cyclicLR
04-14 00:51:14	-- momentum: 0.9
04-14 00:51:14	-- weight_decay: 0.0005
04-14 00:51:14	-- dropout_rate: 0
04-14 00:51:14	device: cuda (1 GPUs)
04-14 00:51:14	output_path: results/cifar10/baselines/standard/wrn-16-8
04-14 00:51:14	log_file: results/cifar10/baselines/standard/wrn-16-8/std_train_wrn_log.txt

04-14 00:51:14	start loading datasets: cifar10
04-14 00:51:15	loaded 50000 dataset_train samples
04-14 00:51:15	loaded 10000 dataset_test samples
04-14 00:51:15	elapsed time: 0:00:01.185832

04-14 00:51:15	start initializing a model
04-14 00:51:16	end initializing a model
04-14 00:51:16	elapsed time:0:00:00.165158

04-14 00:51:16	start setting trainer configurations
04-14 00:51:20	end setting trainer configurations
04-14 00:51:20	elapsed time:0:00:03.986622

04-14 00:51:20	start training a model
04-14 00:51:20	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 00:52:05	001	train	1.9617	0.2892	|	test	1.5738	0.4222
04-14 00:52:51	002	train	1.4272	0.4824	|	test	1.2689	0.5357
04-14 00:53:36	003	train	1.1410	0.5912	|	test	1.0002	0.6374
04-14 00:54:22	004	train	0.9538	0.6598	|	test	0.9282	0.6721
04-14 00:55:08	005	train	0.8173	0.7115	|	test	0.8385	0.7098
04-14 00:55:53	006	train	0.7015	0.7563	|	test	0.8519	0.7132
04-14 00:56:39	007	train	0.6124	0.7899	|	test	0.6189	0.7898
04-14 00:57:25	008	train	0.5502	0.8096	|	test	0.7283	0.7593
04-14 00:58:10	009	train	0.4919	0.8294	|	test	0.5901	0.7989
04-14 00:58:56	010	train	0.4506	0.8439	|	test	0.6241	0.7892
04-14 00:59:42	011	train	0.4144	0.8568	|	test	0.7155	0.7740
04-14 01:00:27	012	train	0.3835	0.8687	|	test	0.4758	0.8395
04-14 01:01:13	013	train	0.3560	0.8778	|	test	0.6688	0.7825
04-14 01:01:59	014	train	0.3368	0.8838	|	test	0.5106	0.8245
04-14 01:02:44	015	train	0.3191	0.8895	|	test	0.5914	0.8134
04-14 01:03:30	016	train	0.2957	0.8977	|	test	0.4819	0.8382
04-14 01:04:16	017	train	0.2794	0.9044	|	test	0.4763	0.8461
04-14 01:05:01	018	train	0.2689	0.9082	|	test	0.4818	0.8441
04-14 01:05:47	019	train	0.2598	0.9120	|	test	0.5690	0.8190
04-14 01:06:33	020	train	0.2453	0.9158	|	test	0.4082	0.8650
04-14 01:07:18	021	train	0.2364	0.9181	|	test	0.4069	0.8653
04-14 01:08:04	022	train	0.2291	0.9216	|	test	0.5185	0.8377
04-14 01:08:50	023	train	0.2240	0.9218	|	test	0.4483	0.8618
04-14 01:09:35	024	train	0.2181	0.9256	|	test	0.4268	0.8604
04-14 01:10:21	025	train	0.2122	0.9269	|	test	0.3653	0.8776
04-14 01:11:06	026	train	0.2098	0.9271	|	test	0.4730	0.8532
04-14 01:11:52	027	train	0.2066	0.9281	|	test	0.5065	0.8457
04-14 01:12:38	028	train	0.1977	0.9327	|	test	0.4705	0.8523
04-14 01:13:23	029	train	0.1995	0.9310	|	test	0.4785	0.8466
04-14 01:14:08	030	train	0.1956	0.9327	|	test	0.3919	0.8704
04-14 01:14:54	031	train	0.1966	0.9324	|	test	0.4354	0.8698
04-14 01:15:40	032	train	0.1913	0.9342	|	test	0.3875	0.8732
04-14 01:16:25	033	train	0.1853	0.9363	|	test	0.3481	0.8837
04-14 01:17:11	034	train	0.1917	0.9341	|	test	0.3834	0.8753
04-14 01:17:56	035	train	0.1787	0.9385	|	test	0.4018	0.8726
04-14 01:18:42	036	train	0.1873	0.9360	|	test	0.3999	0.8793
04-14 01:19:27	037	train	0.1915	0.9338	|	test	0.3667	0.8829
04-14 01:20:13	038	train	0.1807	0.9392	|	test	0.4183	0.8716
04-14 01:20:58	039	train	0.1781	0.9387	|	test	0.5180	0.8442
