04-14 13:59:45	##### arguments #####
04-14 13:59:45	dataset: cifar100
04-14 13:59:45	model_config: config/model/wrn-16-8.json
04-14 13:59:45	-- num_layer: 16
04-14 13:59:45	-- widening_factor: 8
04-14 13:59:45	run_config: config/run/std_train.json
04-14 13:59:45	-- batch_size_train: 128
04-14 13:59:45	-- batch_size_eval: 256
04-14 13:59:45	-- num_epochs: 100
04-14 13:59:45	-- learning_rate: 0.1
04-14 13:59:45	-- learning_rate_scheduler: cyclicLR
04-14 13:59:45	-- momentum: 0.9
04-14 13:59:45	-- weight_decay: 0.0005
04-14 13:59:45	-- dropout_rate: 0
04-14 13:59:45	device: cuda (1 GPUs)
04-14 13:59:45	output_path: results/cifar100/baselines/standard/wrn-16-8
04-14 13:59:45	log_file: results/cifar100/baselines/standard/wrn-16-8/std_train_wrn_log.txt

04-14 13:59:45	start loading datasets: cifar100
04-14 13:59:46	loaded 50000 dataset_train samples
04-14 13:59:46	loaded 10000 dataset_test samples
04-14 13:59:46	elapsed time: 0:00:01.457292

04-14 13:59:46	start initializing a model
04-14 13:59:46	end initializing a model
04-14 13:59:46	elapsed time:0:00:00.171730

04-14 13:59:46	start setting trainer configurations
04-14 13:59:50	end setting trainer configurations
04-14 13:59:50	elapsed time:0:00:03.896083

04-14 13:59:50	start training a model
04-14 13:59:50	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 14:00:36	001	train	4.4496	0.0471	|	test	4.0747	0.0978
04-14 14:01:20	002	train	3.8462	0.1262	|	test	3.5920	0.1578
04-14 14:02:05	003	train	3.4465	0.1836	|	test	3.2717	0.2043
04-14 14:02:51	004	train	3.0416	0.2534	|	test	2.9270	0.2730
04-14 14:03:36	005	train	2.6808	0.3194	|	test	2.6167	0.3333
04-14 14:04:21	006	train	2.3838	0.3780	|	test	2.4555	0.3716
04-14 14:05:06	007	train	2.1213	0.4351	|	test	2.1363	0.4312
04-14 14:05:51	008	train	1.9112	0.4814	|	test	2.1017	0.4403
04-14 14:06:36	009	train	1.7300	0.5227	|	test	1.8681	0.4899
04-14 14:07:21	010	train	1.5903	0.5563	|	test	1.8141	0.5131
04-14 14:08:06	011	train	1.4669	0.5880	|	test	1.8932	0.5069
04-14 14:08:51	012	train	1.3586	0.6130	|	test	1.7696	0.5250
04-14 14:09:36	013	train	1.2735	0.6349	|	test	1.5745	0.5671
04-14 14:10:21	014	train	1.1982	0.6539	|	test	1.5353	0.5826
04-14 14:11:06	015	train	1.1331	0.6715	|	test	1.5006	0.5874
04-14 14:11:51	016	train	1.0663	0.6876	|	test	1.5719	0.5687
04-14 14:12:36	017	train	1.0080	0.7037	|	test	1.4855	0.5882
04-14 14:13:22	018	train	0.9603	0.7180	|	test	1.6395	0.5747
04-14 14:14:07	019	train	0.9136	0.7311	|	test	1.4293	0.5997
04-14 14:14:52	020	train	0.8660	0.7415	|	test	1.4692	0.6119
04-14 14:15:37	021	train	0.8293	0.7523	|	test	1.5793	0.5806
04-14 14:16:22	022	train	0.7937	0.7607	|	test	1.4255	0.6158
04-14 14:17:07	023	train	0.7590	0.7732	|	test	1.6931	0.5736
04-14 14:17:52	024	train	0.7286	0.7805	|	test	1.3742	0.6396
04-14 14:18:37	025	train	0.7224	0.7828	|	test	1.3731	0.6416
04-14 14:19:22	026	train	0.6902	0.7916	|	test	1.6630	0.5925
04-14 14:20:07	027	train	0.6685	0.7977	|	test	1.4214	0.6276
04-14 14:20:52	028	train	0.6530	0.8028	|	test	1.4823	0.6223
04-14 14:21:37	029	train	0.6353	0.8077	|	test	1.3383	0.6483
04-14 14:22:22	030	train	0.6191	0.8128	|	test	1.5216	0.6147
04-14 14:23:07	031	train	0.6121	0.8128	|	test	1.4737	0.6228
04-14 14:23:52	032	train	0.5935	0.8218	|	test	1.6170	0.5994
04-14 14:24:37	033	train	0.5775	0.8252	|	test	1.3870	0.6412
04-14 14:25:22	034	train	0.5814	0.8239	|	test	1.6100	0.6085
04-14 14:26:07	035	train	0.5655	0.8288	|	test	1.7192	0.5943
04-14 14:26:52	036	train	0.5584	0.8306	|	test	1.5808	0.6021
04-14 14:27:38	037	train	0.5631	0.8294	|	test	1.5109	0.6295
04-14 14:28:22	038	train	0.5352	0.8386	|	test	1.6726	0.5894
04-14 14:29:08	039	train	0.5429	0.8336	|	test	1.5700	0.6240
04-14 14:29:53	040	train	0.5372	0.8373	|	test	1.6207	0.6117
04-14 14:30:38	041	train	0.5412	0.8348	|	test	1.6438	0.6035
