04-16 08:33:50	##### arguments #####
04-16 08:33:50	dataset: cifar10
04-16 08:33:50	model_config: config/model/wrn-16-1.json
04-16 08:33:50	-- num_layer: 16
04-16 08:33:50	-- widening_factor: 1
04-16 08:33:50	run_config: config/run/adv_train_fgsm.json
04-16 08:33:50	-- batch_size_train: 128
04-16 08:33:50	-- batch_size_eval: 256
04-16 08:33:50	-- num_epochs: 100
04-16 08:33:50	-- learning_rate: 0.1
04-16 08:33:50	-- learning_rate_scheduler: cyclicLR
04-16 08:33:50	-- momentum: 0.9
04-16 08:33:50	-- weight_decay: 0.0005
04-16 08:33:50	-- dropout_rate: 0
04-16 08:33:50	-- adv_train_type: fgsm
04-16 08:33:50	-- epsilon_train: 8
04-16 08:33:50	-- alpha_train: 2
04-16 08:33:50	-- epsilon_eval: 8
04-16 08:33:50	-- alpha_eval: 2
04-16 08:33:50	-- restarts_eval: 1
04-16 08:33:50	-- attack_iters_eval: 5
04-16 08:33:50	device: cuda (1 GPUs)
04-16 08:33:50	output_path: results/cifar10/baselines/adversarial_fgsm/wrn-16-1
04-16 08:33:50	log_file: results/cifar10/baselines/adversarial_fgsm/wrn-16-1/adv_train_wrn_log.txt

04-16 08:33:50	start loading datasets: cifar10
04-16 08:33:51	loaded 50000 dataset_train samples
04-16 08:33:51	loaded 10000 dataset_test samples
04-16 08:33:51	elapsed time: 0:00:01.195730

04-16 08:33:51	start initializing a model
04-16 08:33:51	end initializing a model
04-16 08:33:51	elapsed time:0:00:00.009174

04-16 08:33:51	start setting trainer configurations
04-16 08:33:55	end setting trainer configurations
04-16 08:33:55	elapsed time:0:00:04.000779

04-16 08:33:55	start training a model
04-16 08:33:55	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-16 08:34:13	001	train	2.5187	0.0381	|	test	2.2125	0.0361
04-16 08:34:30	002	train	2.1503	0.1765	|	test	1.9896	0.0995
04-16 08:34:48	003	train	1.9346	0.2554	|	test	1.8156	0.1472
04-16 08:35:05	004	train	1.8383	0.2950	|	test	1.7552	0.1625
04-16 08:35:22	005	train	1.7768	0.3238	|	test	1.6959	0.1817
04-16 08:35:39	006	train	1.7175	0.3474	|	test	1.6412	0.1877
04-16 08:35:56	007	train	1.6586	0.3725	|	test	1.5967	0.1836
04-16 08:36:13	008	train	1.5989	0.3975	|	test	1.5409	0.1938
04-16 08:36:31	009	train	1.5329	0.4253	|	test	1.5131	0.2136
04-16 08:36:48	010	train	1.4733	0.4478	|	test	1.5279	0.2097
04-16 08:37:05	011	train	1.4171	0.4712	|	test	1.4235	0.2159
04-16 08:37:22	012	train	1.3679	0.4895	|	test	1.4099	0.2167
04-16 08:37:39	013	train	1.3203	0.5077	|	test	1.3879	0.2029
04-16 08:37:56	014	train	1.2787	0.5232	|	test	1.3709	0.2183
04-16 08:38:14	015	train	1.2404	0.5379	|	test	1.3734	0.2182
04-16 08:38:31	016	train	1.2078	0.5526	|	test	1.3041	0.2386
04-16 08:38:48	017	train	1.1829	0.5600	|	test	1.2926	0.2488
04-16 08:39:05	018	train	1.1537	0.5714	|	test	1.2932	0.2283
04-16 08:39:22	019	train	1.1339	0.5810	|	test	1.2836	0.2310
04-16 08:39:39	020	train	1.1163	0.5858	|	test	1.3020	0.2411
04-16 08:39:56	021	train	1.1005	0.5914	|	test	1.2754	0.2498
04-16 08:40:14	022	train	1.0827	0.5990	|	test	1.2313	0.2520
04-16 08:40:31	023	train	1.0723	0.6038	|	test	1.2506	0.2434
04-16 08:40:48	024	train	1.0572	0.6092	|	test	1.2234	0.2510
04-16 08:41:05	025	train	1.0488	0.6125	|	test	1.2251	0.2519
04-16 08:41:22	026	train	1.0404	0.6156	|	test	1.2242	0.2564
04-16 08:41:39	027	train	1.0308	0.6206	|	test	1.2094	0.2570
04-16 08:41:56	028	train	1.0185	0.6245	|	test	1.1973	0.2757
04-16 08:42:13	029	train	1.0130	0.6294	|	test	1.2565	0.2452
04-16 08:42:30	030	train	1.0076	0.6295	|	test	1.2347	0.2527
04-16 08:42:49	031	train	1.0003	0.6317	|	test	1.2121	0.2671
04-16 08:43:05	032	train	0.9965	0.6334	|	test	1.2312	0.2726
04-16 08:43:23	033	train	0.9896	0.6359	|	test	1.2226	0.2627
04-16 08:43:40	034	train	0.9859	0.6379	|	test	1.2400	0.2507
04-16 08:43:58	035	train	0.9809	0.6420	|	test	1.2169	0.2649
04-16 08:44:15	036	train	0.9756	0.6399	|	test	1.2114	0.2706
04-16 08:44:32	037	train	0.9717	0.6439	|	test	1.2381	0.2582
04-16 08:44:50	038	train	0.9668	0.6460	|	test	1.1966	0.2742
