04-13 22:19:22	##### arguments #####
04-13 22:19:22	dataset: cifar10
04-13 22:19:22	model_config: config/model/wrn-16-2.json
04-13 22:19:22	-- num_layer: 16
04-13 22:19:22	-- widening_factor: 2
04-13 22:19:22	run_config: config/run/std_train.json
04-13 22:19:22	-- batch_size_train: 128
04-13 22:19:22	-- batch_size_eval: 256
04-13 22:19:22	-- num_epochs: 100
04-13 22:19:22	-- learning_rate: 0.1
04-13 22:19:22	-- learning_rate_scheduler: cyclicLR
04-13 22:19:22	-- momentum: 0.9
04-13 22:19:22	-- weight_decay: 0.0005
04-13 22:19:22	-- dropout_rate: 0
04-13 22:19:22	device: cuda (1 GPUs)
04-13 22:19:22	output_path: results/cifar10/baselines/standard/wrn-16-2
04-13 22:19:22	log_file: results/cifar10/baselines/standard/wrn-16-2/std_train_wrn_log.txt

04-13 22:19:22	start loading datasets: cifar10
04-13 22:19:24	loaded 50000 dataset_train samples
04-13 22:19:24	loaded 10000 dataset_test samples
04-13 22:19:24	elapsed time: 0:00:01.177232

04-13 22:19:24	start initializing a model
04-13 22:19:24	end initializing a model
04-13 22:19:24	elapsed time:0:00:00.017242

04-13 22:19:24	start setting trainer configurations
04-13 22:19:27	end setting trainer configurations
04-13 22:19:27	elapsed time:0:00:03.797058

04-13 22:19:27	start training a model
04-13 22:19:27	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 22:19:42	001	train	2.1281	0.2167	|	test	1.8183	0.3409
04-13 22:19:57	002	train	1.6549	0.3916	|	test	1.4731	0.4566
04-13 22:20:11	003	train	1.3915	0.4949	|	test	1.2814	0.5360
04-13 22:20:25	004	train	1.1889	0.5693	|	test	1.1835	0.5719
04-13 22:20:38	005	train	1.0337	0.6311	|	test	1.0467	0.6326
04-13 22:20:52	006	train	0.9177	0.6738	|	test	0.9799	0.6547
04-13 22:21:06	007	train	0.8332	0.7064	|	test	0.8455	0.7049
04-13 22:21:20	008	train	0.7608	0.7312	|	test	0.8027	0.7167
04-13 22:21:35	009	train	0.6925	0.7573	|	test	0.8161	0.7214
04-13 22:21:49	010	train	0.6349	0.7789	|	test	0.6121	0.7864
04-13 22:22:03	011	train	0.5838	0.7969	|	test	0.6830	0.7644
04-13 22:22:17	012	train	0.5536	0.8096	|	test	0.7660	0.7439
04-13 22:22:30	013	train	0.5206	0.8219	|	test	0.7100	0.7597
04-13 22:22:44	014	train	0.4947	0.8299	|	test	0.5810	0.8080
04-13 22:22:58	015	train	0.4710	0.8396	|	test	0.5497	0.8090
04-13 22:23:12	016	train	0.4512	0.8471	|	test	0.5788	0.8080
04-13 22:23:25	017	train	0.4280	0.8522	|	test	0.5443	0.8215
04-13 22:23:39	018	train	0.4115	0.8587	|	test	0.5774	0.8067
04-13 22:23:52	019	train	0.3992	0.8622	|	test	0.5465	0.8173
04-13 22:24:06	020	train	0.3897	0.8654	|	test	0.4744	0.8379
04-13 22:24:20	021	train	0.3752	0.8719	|	test	0.5576	0.8158
04-13 22:24:33	022	train	0.3694	0.8734	|	test	0.5482	0.8230
04-13 22:24:46	023	train	0.3638	0.8742	|	test	0.4757	0.8444
04-13 22:25:00	024	train	0.3556	0.8766	|	test	0.6057	0.8079
04-13 22:25:13	025	train	0.3523	0.8785	|	test	0.5166	0.8307
04-13 22:25:28	026	train	0.3378	0.8835	|	test	0.5619	0.8152
04-13 22:25:41	027	train	0.3397	0.8817	|	test	0.5111	0.8262
04-13 22:25:55	028	train	0.3351	0.8849	|	test	0.5998	0.8019
04-13 22:26:09	029	train	0.3275	0.8881	|	test	0.6439	0.8028
