04-13 14:54:18	##### arguments #####
04-13 14:54:18	dataset: cifar10
04-13 14:54:18	model_config: config/model/wrn-40-1.json
04-13 14:54:18	-- num_layer: 40
04-13 14:54:18	-- widening_factor: 1
04-13 14:54:18	run_config: config/run/std_train.json
04-13 14:54:18	-- batch_size_train: 128
04-13 14:54:18	-- batch_size_eval: 256
04-13 14:54:18	-- num_epochs: 100
04-13 14:54:18	-- learning_rate: 0.1
04-13 14:54:18	-- learning_rate_scheduler: cyclicLR
04-13 14:54:18	-- momentum: 0.9
04-13 14:54:18	-- weight_decay: 0.0005
04-13 14:54:18	-- dropout_rate: 0
04-13 14:54:18	device: cuda (1 GPUs)
04-13 14:54:18	output_path: results/cifar10/baselines/standard/wrn-40-1
04-13 14:54:18	log_file: results/cifar10/baselines/standard/wrn-40-1/std_train_wrn_log.txt

04-13 14:54:18	start loading datasets: cifar10
04-13 14:54:19	loaded 50000 dataset_train samples
04-13 14:54:19	loaded 10000 dataset_test samples
04-13 14:54:19	elapsed time: 0:00:01.196639

04-13 14:54:19	start initializing a model
04-13 14:54:19	end initializing a model
04-13 14:54:19	elapsed time:0:00:00.021908

04-13 14:54:19	start setting trainer configurations
04-13 14:54:23	end setting trainer configurations
04-13 14:54:23	elapsed time:0:00:03.919893

04-13 14:54:23	start training a model
04-13 14:54:23	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 14:54:40	001	train	2.2714	0.1461	|	test	2.0288	0.2302
04-13 14:54:56	002	train	1.8789	0.2771	|	test	1.7489	0.3266
04-13 14:55:12	003	train	1.6682	0.3646	|	test	1.5780	0.4150
04-13 14:55:29	004	train	1.4735	0.4533	|	test	1.5668	0.4377
04-13 14:55:45	005	train	1.2945	0.5291	|	test	1.4621	0.4720
04-13 14:56:00	006	train	1.1557	0.5875	|	test	1.1199	0.6143
04-13 14:56:17	007	train	1.0378	0.6308	|	test	1.0381	0.6333
04-13 14:56:33	008	train	0.9444	0.6667	|	test	0.9261	0.6786
04-13 14:56:49	009	train	0.8640	0.6940	|	test	0.9001	0.6857
04-13 14:57:05	010	train	0.7974	0.7215	|	test	0.9574	0.6849
04-13 14:57:21	011	train	0.7395	0.7420	|	test	0.7546	0.7365
04-13 14:57:36	012	train	0.6950	0.7591	|	test	0.7601	0.7389
04-13 14:57:53	013	train	0.6501	0.7749	|	test	0.8215	0.7298
04-13 14:58:09	014	train	0.6154	0.7878	|	test	0.6380	0.7815
04-13 14:58:25	015	train	0.5895	0.7948	|	test	0.6477	0.7831
04-13 14:58:41	016	train	0.5644	0.8054	|	test	0.5654	0.8036
04-13 14:58:57	017	train	0.5403	0.8128	|	test	0.5921	0.7997
04-13 14:59:13	018	train	0.5226	0.8185	|	test	0.5794	0.8024
04-13 14:59:29	019	train	0.5058	0.8255	|	test	0.6276	0.7934
04-13 14:59:45	020	train	0.4879	0.8316	|	test	0.6005	0.7987
04-13 15:00:01	021	train	0.4737	0.8363	|	test	0.6586	0.7843
04-13 15:00:17	022	train	0.4622	0.8408	|	test	0.6239	0.7950
04-13 15:00:33	023	train	0.4503	0.8451	|	test	0.5191	0.8211
04-13 15:00:49	024	train	0.4436	0.8485	|	test	0.8643	0.7379
04-13 15:01:05	025	train	0.4325	0.8515	|	test	0.5357	0.8136
04-13 15:01:21	026	train	0.4255	0.8541	|	test	0.6888	0.7819
04-13 15:01:37	027	train	0.4201	0.8569	|	test	0.4958	0.8299
04-13 15:01:53	028	train	0.4165	0.8581	|	test	0.6077	0.7975
04-13 15:02:10	029	train	0.4118	0.8582	|	test	0.4719	0.8372
04-13 15:02:26	030	train	0.4069	0.8599	|	test	0.4843	0.8330
04-13 15:02:42	031	train	0.3983	0.8633	|	test	0.5063	0.8291
04-13 15:02:58	032	train	0.3973	0.8643	|	test	0.6049	0.8003
