04-14 18:36:42	##### arguments #####
04-14 18:36:42	dataset: cifar10
04-14 18:36:42	model_config: config/model/wrn-40-1.json
04-14 18:36:42	-- num_layer: 40
04-14 18:36:42	-- widening_factor: 1
04-14 18:36:42	run_config: config/run/adv_train_fgsm.json
04-14 18:36:42	-- batch_size_train: 128
04-14 18:36:42	-- batch_size_eval: 256
04-14 18:36:42	-- num_epochs: 100
04-14 18:36:42	-- learning_rate: 0.1
04-14 18:36:42	-- learning_rate_scheduler: cyclicLR
04-14 18:36:42	-- momentum: 0.9
04-14 18:36:42	-- weight_decay: 0.0005
04-14 18:36:42	-- dropout_rate: 0
04-14 18:36:42	-- adv_train_type: fgsm
04-14 18:36:42	-- epsilon_train: 8
04-14 18:36:42	-- alpha_train: 2
04-14 18:36:42	-- epsilon_eval: 8
04-14 18:36:42	-- alpha_eval: 2
04-14 18:36:42	-- restarts_eval: 1
04-14 18:36:42	-- attack_iters_eval: 5
04-14 18:36:42	device: cuda (1 GPUs)
04-14 18:36:42	output_path: results/cifar10/baselines/adversarial_fgsm/wrn-40-1
04-14 18:36:42	log_file: results/cifar10/baselines/adversarial_fgsm/wrn-40-1/adv_train_wrn_log.txt

04-14 18:36:42	start loading datasets: cifar10
04-14 18:36:43	loaded 50000 dataset_train samples
04-14 18:36:43	loaded 10000 dataset_test samples
04-14 18:36:43	elapsed time: 0:00:01.208863

04-14 18:36:43	start initializing a model
04-14 18:36:43	end initializing a model
04-14 18:36:43	elapsed time:0:00:00.026430

04-14 18:36:43	start setting trainer configurations
04-14 18:36:47	end setting trainer configurations
04-14 18:36:47	elapsed time:0:00:03.748429

04-14 18:36:47	start training a model
04-14 18:36:47	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-14 18:37:28	001	train	2.4009	0.0994	|	test	2.2077	0.0461
04-14 18:38:09	002	train	2.1440	0.1466	|	test	2.0185	0.0883
04-14 18:38:50	003	train	2.0312	0.1940	|	test	1.9283	0.0841
04-14 18:39:31	004	train	1.9535	0.2258	|	test	1.8829	0.1260
04-14 18:40:11	005	train	1.8793	0.2656	|	test	1.8114	0.1742
04-14 18:40:52	006	train	1.8326	0.2899	|	test	1.7588	0.1845
04-14 18:41:33	007	train	1.7938	0.3091	|	test	1.7131	0.1895
04-14 18:42:14	008	train	1.7494	0.3313	|	test	1.6848	0.1975
04-14 18:42:54	009	train	1.6936	0.3533	|	test	1.6169	0.2065
04-14 18:43:35	010	train	1.6219	0.3833	|	test	1.5671	0.2024
04-14 18:44:16	011	train	1.5621	0.4076	|	test	1.5198	0.2134
04-14 18:44:57	012	train	1.5099	0.4317	|	test	1.5077	0.2332
04-14 18:45:37	013	train	1.4495	0.4556	|	test	1.4480	0.2280
04-14 18:46:18	014	train	1.3868	0.4786	|	test	1.4172	0.2388
04-14 18:46:59	015	train	1.3303	0.5030	|	test	1.3820	0.2410
04-14 18:47:40	016	train	1.2778	0.5248	|	test	1.3808	0.2272
04-14 18:48:21	017	train	1.2322	0.5404	|	test	1.3303	0.2532
04-14 18:49:01	018	train	1.1888	0.5582	|	test	1.3072	0.2396
04-14 18:49:42	019	train	1.1471	0.5750	|	test	1.2701	0.2608
04-14 18:50:23	020	train	1.1210	0.5848	|	test	1.2770	0.2657
04-14 18:51:04	021	train	1.0861	0.5996	|	test	1.2453	0.2803
04-14 18:51:44	022	train	1.0620	0.6057	|	test	1.2282	0.2811
04-14 18:52:25	023	train	1.0366	0.6153	|	test	1.2265	0.2827
04-14 18:53:06	024	train	1.0178	0.6252	|	test	1.2422	0.2704
04-14 18:53:47	025	train	0.9965	0.6321	|	test	1.2165	0.2864
04-14 18:54:28	026	train	0.9833	0.6393	|	test	1.2163	0.2712
04-14 18:55:08	027	train	0.9632	0.6440	|	test	1.2198	0.2672
04-14 18:55:49	028	train	0.9504	0.6486	|	test	1.2206	0.2588
04-14 18:56:30	029	train	0.9356	0.6548	|	test	1.1746	0.2836
04-14 18:57:11	030	train	0.9231	0.6604	|	test	1.1415	0.3062
04-14 18:57:52	031	train	0.9101	0.6642	|	test	1.1588	0.3016
04-14 18:58:33	032	train	0.9039	0.6665	|	test	1.1793	0.2761
04-14 18:59:14	033	train	0.8949	0.6706	|	test	1.1475	0.3119
04-14 18:59:55	034	train	0.8836	0.6736	|	test	1.1891	0.2779
04-14 19:00:35	035	train	0.8772	0.6784	|	test	1.1959	0.2816
04-14 19:01:16	036	train	0.8666	0.6814	|	test	1.2391	0.2663
04-14 19:01:57	037	train	0.8591	0.6864	|	test	1.1508	0.3045
04-14 19:02:38	038	train	0.8571	0.6879	|	test	1.2249	0.2745
04-14 19:03:19	039	train	0.8465	0.6885	|	test	1.2184	0.2862
04-14 19:04:00	040	train	0.8414	0.6913	|	test	1.1423	0.3035
04-14 19:04:41	041	train	0.8415	0.6911	|	test	1.1722	0.2764
04-14 19:05:22	042	train	0.8298	0.6961	|	test	1.1096	0.3150
04-14 19:06:02	043	train	0.8280	0.6951	|	test	1.1562	0.2866
04-14 19:06:43	044	train	0.8255	0.6972	|	test	1.1469	0.3018
04-14 19:07:24	045	train	0.8187	0.6997	|	test	1.2191	0.2757
04-14 19:08:05	046	train	0.8149	0.7008	|	test	1.1350	0.2885
04-14 19:08:46	047	train	0.8137	0.7029	|	test	1.1645	0.2856
04-14 19:09:26	048	train	0.8085	0.7033	|	test	1.1571	0.2813
04-14 19:10:07	049	train	0.8080	0.7040	|	test	1.1588	0.2921
04-14 19:10:48	050	train	0.8024	0.7061	|	test	1.1609	0.2862
04-14 19:11:29	051	train	0.7971	0.7062	|	test	1.1375	0.2938
04-14 19:12:10	052	train	0.7872	0.7105	|	test	1.1058	0.3198
04-14 19:12:50	053	train	0.7848	0.7131	|	test	1.1300	0.3017
04-14 19:13:31	054	train	0.7786	0.7152	|	test	1.1184	0.2991
04-14 19:14:11	055	train	0.7730	0.7164	|	test	1.1273	0.3039
04-14 19:14:52	056	train	0.7656	0.7179	|	test	1.1237	0.3026
04-14 19:15:33	057	train	0.7563	0.7238	|	test	1.1111	0.3011
04-14 19:16:16	058	train	0.7542	0.7237	|	test	1.1116	0.3188
04-14 19:16:56	059	train	0.7502	0.7250	|	test	1.1025	0.3137
04-14 19:17:38	060	train	0.7441	0.7273	|	test	1.1483	0.2897
04-14 19:18:19	061	train	0.7402	0.7280	|	test	1.1155	0.3000
04-14 19:19:00	062	train	0.7336	0.7299	|	test	1.1478	0.2881
04-14 19:19:41	063	train	0.7270	0.7342	|	test	1.0643	0.3278
04-14 19:20:21	064	train	0.7231	0.7360	|	test	1.1126	0.3019
04-14 19:21:02	065	train	0.7169	0.7353	|	test	1.0739	0.3299
04-14 19:21:43	066	train	0.7110	0.7389	|	test	1.1027	0.3051
04-14 19:22:23	067	train	0.7097	0.7385	|	test	1.1128	0.3102
04-14 19:23:04	068	train	0.7039	0.7409	|	test	1.0897	0.3088
04-14 19:23:45	069	train	0.6973	0.7428	|	test	1.0994	0.3060
04-14 19:24:26	070	train	0.6922	0.7466	|	test	1.0835	0.3119
04-14 19:25:07	071	train	0.6842	0.7481	|	test	1.0825	0.3168
04-14 19:25:48	072	train	0.6808	0.7485	|	test	1.0864	0.3155
