04-13 15:57:40	##### arguments #####
04-13 15:57:40	dataset: cifar10
04-13 15:57:40	model_config: config/model/wrn-40-4.json
04-13 15:57:40	-- num_layer: 40
04-13 15:57:40	-- widening_factor: 4
04-13 15:57:40	run_config: config/run/std_train.json
04-13 15:57:40	-- batch_size_train: 128
04-13 15:57:40	-- batch_size_eval: 256
04-13 15:57:40	-- num_epochs: 100
04-13 15:57:40	-- learning_rate: 0.1
04-13 15:57:40	-- learning_rate_scheduler: cyclicLR
04-13 15:57:40	-- momentum: 0.9
04-13 15:57:40	-- weight_decay: 0.0005
04-13 15:57:40	-- dropout_rate: 0
04-13 15:57:40	device: cuda (1 GPUs)
04-13 15:57:40	output_path: results/cifar10/baselines/standard/wrn-40-4
04-13 15:57:40	log_file: results/cifar10/baselines/standard/wrn-40-4/std_train_wrn_log.txt

04-13 15:57:40	start loading datasets: cifar10
04-13 15:57:41	loaded 50000 dataset_train samples
04-13 15:57:41	loaded 10000 dataset_test samples
04-13 15:57:41	elapsed time: 0:00:01.189855

04-13 15:57:41	start initializing a model
04-13 15:57:41	end initializing a model
04-13 15:57:41	elapsed time:0:00:00.143201

04-13 15:57:41	start setting trainer configurations
04-13 15:57:45	end setting trainer configurations
04-13 15:57:45	elapsed time:0:00:03.929132

04-13 15:57:45	start training a model
04-13 15:57:45	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 15:58:30	001	train	2.1692	0.1734	|	test	1.9123	0.2573
04-13 15:59:15	002	train	1.7760	0.3166	|	test	1.6729	0.3810
04-13 15:59:59	003	train	1.4887	0.4484	|	test	1.3163	0.5279
04-13 16:00:43	004	train	1.1771	0.5752	|	test	1.0609	0.6204
04-13 16:01:28	005	train	0.9784	0.6529	|	test	0.9147	0.6782
04-13 16:02:13	006	train	0.8144	0.7133	|	test	0.7916	0.7236
04-13 16:02:57	007	train	0.6947	0.7588	|	test	0.6776	0.7681
04-13 16:03:42	008	train	0.6086	0.7900	|	test	0.7119	0.7530
04-13 16:04:26	009	train	0.5424	0.8144	|	test	0.7543	0.7508
04-13 16:05:11	010	train	0.5003	0.8278	|	test	0.5859	0.8060
04-13 16:05:55	011	train	0.4531	0.8447	|	test	0.4946	0.8269
04-13 16:06:40	012	train	0.4278	0.8537	|	test	0.5947	0.8033
04-13 16:07:24	013	train	0.3947	0.8645	|	test	0.4386	0.8502
04-13 16:08:09	014	train	0.3735	0.8724	|	test	0.6819	0.7849
04-13 16:08:53	015	train	0.3529	0.8792	|	test	0.6382	0.8030
04-13 16:09:38	016	train	0.3376	0.8848	|	test	0.4816	0.8435
04-13 16:10:23	017	train	0.3235	0.8900	|	test	0.5549	0.8216
04-13 16:11:07	018	train	0.3142	0.8920	|	test	0.4875	0.8387
