04-14 16:04:49	##### arguments #####
04-14 16:04:49	dataset: cifar10
04-14 16:04:49	model_config: config/model/wrn-40-1.json
04-14 16:04:49	-- num_layer: 40
04-14 16:04:49	-- widening_factor: 1
04-14 16:04:49	run_config: config/run/adv_train.json
04-14 16:04:49	-- batch_size_train: 128
04-14 16:04:49	-- batch_size_eval: 256
04-14 16:04:49	-- num_epochs: 100
04-14 16:04:49	-- learning_rate: 0.1
04-14 16:04:49	-- learning_rate_scheduler: cyclicLR
04-14 16:04:49	-- momentum: 0.9
04-14 16:04:49	-- weight_decay: 0.0005
04-14 16:04:49	-- dropout_rate: 0
04-14 16:04:49	-- adv_train_type: pgd
04-14 16:04:49	-- epsilon_train: 8
04-14 16:04:49	-- alpha_train: 2
04-14 16:04:49	-- restarts_train: 1
04-14 16:04:49	-- attack_iters_train: 7
04-14 16:04:49	-- epsilon_eval: 8
04-14 16:04:49	-- alpha_eval: 2
04-14 16:04:49	-- restarts_eval: 1
04-14 16:04:49	-- attack_iters_eval: 5
04-14 16:04:49	device: cuda (1 GPUs)
04-14 16:04:49	output_path: results/cifar10/baselines/adversarial/wrn-40-1
04-14 16:04:49	log_file: results/cifar10/baselines/adversarial/wrn-40-1/adv_train_wrn_log.txt

04-14 16:04:49	start loading datasets: cifar10
04-14 16:04:51	loaded 50000 dataset_train samples
04-14 16:04:51	loaded 10000 dataset_test samples
04-14 16:04:51	elapsed time: 0:00:01.875540

04-14 16:04:51	start initializing a model
04-14 16:04:51	end initializing a model
04-14 16:04:51	elapsed time:0:00:00.021629

04-14 16:04:51	start setting trainer configurations
04-14 16:04:55	end setting trainer configurations
04-14 16:04:55	elapsed time:0:00:04.038927

04-14 16:04:55	start training a model
04-14 16:04:55	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-14 16:06:46	001	train	2.4963	0.0646	|	test	2.2800	0.0534
04-14 16:08:36	002	train	2.3063	0.0803	|	test	2.2851	0.0821
04-14 16:10:26	003	train	2.2973	0.0989	|	test	2.2825	0.1092
04-14 16:12:16	004	train	2.2956	0.1064	|	test	2.2806	0.1047
04-14 16:14:06	005	train	2.2933	0.1084	|	test	2.2667	0.1044
04-14 16:15:57	006	train	2.2925	0.1096	|	test	2.2662	0.1077
04-14 16:17:47	007	train	2.2916	0.1096	|	test	2.2716	0.1185
04-14 16:19:37	008	train	2.2906	0.1137	|	test	2.2709	0.1126
04-14 16:21:27	009	train	2.2893	0.1098	|	test	2.2678	0.1159
04-14 16:23:17	010	train	2.2890	0.1126	|	test	2.2631	0.1020
04-14 16:25:08	011	train	2.2878	0.1118	|	test	2.2576	0.1116
04-14 16:26:58	012	train	2.2867	0.1124	|	test	2.2613	0.1128
04-14 16:28:48	013	train	2.2856	0.1127	|	test	2.2554	0.1148
04-14 16:30:38	014	train	2.2852	0.1133	|	test	2.2620	0.1212
04-14 16:32:28	015	train	2.2848	0.1144	|	test	2.2725	0.1210
04-14 16:34:19	016	train	2.2832	0.1156	|	test	2.2552	0.1015
04-14 16:36:09	017	train	2.2820	0.1159	|	test	2.2532	0.1197
04-14 16:37:59	018	train	2.2635	0.1321	|	test	2.0762	0.1766
04-14 16:39:49	019	train	2.1202	0.1968	|	test	1.9062	0.2555
04-14 16:41:39	020	train	2.0416	0.2289	|	test	1.8351	0.2751
04-14 16:43:29	021	train	1.9917	0.2522	|	test	1.7640	0.2972
04-14 16:45:20	022	train	1.9497	0.2677	|	test	1.7060	0.3187
04-14 16:47:10	023	train	1.9165	0.2787	|	test	1.6386	0.3280
04-14 16:49:01	024	train	1.8877	0.2919	|	test	1.6075	0.3447
04-14 16:50:51	025	train	1.8582	0.3005	|	test	1.5773	0.3421
