04-17 00:53:14	##### arguments #####
04-17 00:53:14	dataset: cifar100
04-17 00:53:14	model_config: config/model/wrn-40-1.json
04-17 00:53:14	-- num_layer: 40
04-17 00:53:14	-- widening_factor: 1
04-17 00:53:14	run_config: config/run/adv_train.json
04-17 00:53:14	-- batch_size_train: 128
04-17 00:53:14	-- batch_size_eval: 256
04-17 00:53:14	-- num_epochs: 100
04-17 00:53:14	-- learning_rate: 0.1
04-17 00:53:14	-- learning_rate_scheduler: cyclicLR
04-17 00:53:14	-- momentum: 0.9
04-17 00:53:14	-- weight_decay: 0.0005
04-17 00:53:14	-- dropout_rate: 0
04-17 00:53:14	-- adv_train_type: pgd
04-17 00:53:14	-- epsilon_train: 8
04-17 00:53:14	-- alpha_train: 2
04-17 00:53:14	-- restarts_train: 1
04-17 00:53:14	-- attack_iters_train: 7
04-17 00:53:14	-- epsilon_eval: 8
04-17 00:53:14	-- alpha_eval: 2
04-17 00:53:14	-- restarts_eval: 1
04-17 00:53:14	-- attack_iters_eval: 5
04-17 00:53:14	device: cuda (1 GPUs)
04-17 00:53:14	output_path: results/cifar100/baselines/adversarial/wrn-40-1
04-17 00:53:14	log_file: results/cifar100/baselines/adversarial/wrn-40-1/adv_train_wrn_log.txt

04-17 00:53:14	start loading datasets: cifar100
04-17 00:53:16	loaded 50000 dataset_train samples
04-17 00:53:16	loaded 10000 dataset_test samples
04-17 00:53:16	elapsed time: 0:00:02.129345

04-17 00:53:16	start initializing a model
04-17 00:53:16	end initializing a model
04-17 00:53:16	elapsed time:0:00:00.022180

04-17 00:53:16	start setting trainer configurations
04-17 00:53:20	end setting trainer configurations
04-17 00:53:20	elapsed time:0:00:04.030021

04-17 00:53:20	start training a model
04-17 00:53:20	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-17 00:55:10	001	train	4.7701	0.0052	|	test	4.5513	0.0120
04-17 00:57:00	002	train	4.5692	0.0143	|	test	4.4915	0.0196
04-17 00:58:50	003	train	4.5398	0.0190	|	test	4.4631	0.0228
04-17 01:00:40	004	train	4.5194	0.0227	|	test	4.4344	0.0239
04-17 01:02:30	005	train	4.4929	0.0250	|	test	4.3949	0.0260
04-17 01:04:19	006	train	4.4765	0.0269	|	test	4.3724	0.0264
04-17 01:06:09	007	train	4.4631	0.0296	|	test	4.3515	0.0246
04-17 01:07:59	008	train	4.4459	0.0308	|	test	4.2990	0.0304
04-17 01:09:49	009	train	4.4036	0.0354	|	test	4.2414	0.0341
04-17 01:11:39	010	train	4.3724	0.0390	|	test	4.2011	0.0425
04-17 01:13:29	011	train	4.3437	0.0434	|	test	4.1416	0.0477
04-17 01:15:19	012	train	4.3056	0.0482	|	test	4.1163	0.0510
04-17 01:17:09	013	train	4.2617	0.0530	|	test	3.9987	0.0621
04-17 01:18:59	014	train	4.1969	0.0611	|	test	3.9101	0.0710
04-17 01:20:49	015	train	4.1429	0.0706	|	test	3.8950	0.0761
04-17 01:22:39	016	train	4.0968	0.0768	|	test	3.8096	0.0889
04-17 01:24:28	017	train	4.0558	0.0826	|	test	3.8441	0.0889
04-17 01:26:19	018	train	4.0125	0.0879	|	test	3.7055	0.1063
04-17 01:28:09	019	train	3.9780	0.0918	|	test	3.6395	0.1090
04-17 01:29:59	020	train	3.9379	0.1016	|	test	3.5940	0.1198
04-17 01:31:49	021	train	3.8997	0.1054	|	test	3.5580	0.1167
04-17 01:33:39	022	train	3.8665	0.1099	|	test	3.4933	0.1352
04-17 01:35:30	023	train	3.8394	0.1160	|	test	3.4658	0.1384
04-17 01:37:19	024	train	3.8055	0.1228	|	test	3.3469	0.1522
04-17 01:39:09	025	train	3.7757	0.1273	|	test	3.3498	0.1488
04-17 01:40:59	026	train	3.7492	0.1328	|	test	3.3328	0.1522
04-17 01:42:50	027	train	3.7211	0.1371	|	test	3.2541	0.1635
04-17 01:44:40	028	train	3.6944	0.1424	|	test	3.2032	0.1737
04-17 01:46:30	029	train	3.6690	0.1457	|	test	3.1593	0.1710
04-17 01:48:21	030	train	3.6468	0.1485	|	test	3.1479	0.1580
04-17 01:50:11	031	train	3.6270	0.1528	|	test	3.1268	0.1770
04-17 01:52:01	032	train	3.6076	0.1558	|	test	3.0947	0.1854
04-17 01:53:52	033	train	3.5869	0.1594	|	test	3.0716	0.1792
04-17 01:55:42	034	train	3.5721	0.1614	|	test	3.0532	0.1735
04-17 01:57:32	035	train	3.5567	0.1643	|	test	3.0290	0.1757
04-17 01:59:23	036	train	3.5380	0.1673	|	test	3.0132	0.1792
04-17 02:01:13	037	train	3.5217	0.1701	|	test	2.9504	0.1917
04-17 02:03:03	038	train	3.5121	0.1731	|	test	2.9673	0.1929
04-17 02:04:54	039	train	3.4984	0.1732	|	test	2.9492	0.1902
04-17 02:06:44	040	train	3.4889	0.1754	|	test	2.9562	0.1949
04-17 02:08:34	041	train	3.4770	0.1774	|	test	2.9249	0.2046
04-17 02:10:24	042	train	3.4688	0.1790	|	test	2.8833	0.2074
04-17 02:12:14	043	train	3.4623	0.1789	|	test	2.8934	0.1926
04-17 02:14:05	044	train	3.4524	0.1810	|	test	2.8767	0.2082
04-17 02:15:55	045	train	3.4444	0.1807	|	test	2.8794	0.1990
04-17 02:17:45	046	train	3.4366	0.1848	|	test	2.8323	0.2119
04-17 02:19:35	047	train	3.4296	0.1847	|	test	2.8786	0.2005
04-17 02:21:25	048	train	3.4263	0.1852	|	test	2.8602	0.2049
04-17 02:23:15	049	train	3.4215	0.1862	|	test	2.8345	0.2025
04-17 02:25:05	050	train	3.4163	0.1867	|	test	2.8351	0.2022
04-17 02:26:55	051	train	3.4111	0.1861	|	test	2.8462	0.2049
04-17 02:28:45	052	train	3.4043	0.1913	|	test	2.7989	0.2153
04-17 02:30:35	053	train	3.3955	0.1897	|	test	2.8655	0.2011
04-17 02:32:25	054	train	3.3852	0.1928	|	test	2.8164	0.2130
04-17 02:34:15	055	train	3.3764	0.1947	|	test	2.7858	0.2184
04-17 02:36:05	056	train	3.3702	0.1962	|	test	2.8151	0.2258
04-17 02:37:55	057	train	3.3668	0.1950	|	test	2.7945	0.2142
04-17 02:39:45	058	train	3.3531	0.1988	|	test	2.7584	0.2221
04-17 02:41:35	059	train	3.3504	0.1997	|	test	2.7887	0.2212
04-17 02:43:25	060	train	3.3452	0.2001	|	test	2.7421	0.2254
04-17 02:45:15	061	train	3.3396	0.2008	|	test	2.7410	0.2256
04-17 02:47:05	062	train	3.3310	0.2015	|	test	2.7451	0.2246
04-17 02:48:55	063	train	3.3263	0.2038	|	test	2.7386	0.2196
04-17 02:50:45	064	train	3.3208	0.2041	|	test	2.7321	0.2213
04-17 02:52:35	065	train	3.3105	0.2045	|	test	2.7613	0.2261
04-17 02:54:25	066	train	3.3069	0.2044	|	test	2.6934	0.2344
04-17 02:56:16	067	train	3.2977	0.2070	|	test	2.7600	0.2251
04-17 02:58:06	068	train	3.2926	0.2106	|	test	2.6951	0.2343
04-17 02:59:56	069	train	3.2839	0.2119	|	test	2.6587	0.2298
04-17 03:01:46	070	train	3.2801	0.2101	|	test	2.7550	0.2339
04-17 03:03:37	071	train	3.2727	0.2124	|	test	2.6851	0.2351
04-17 03:05:27	072	train	3.2682	0.2148	|	test	2.6909	0.2389
04-17 03:07:17	073	train	3.2597	0.2150	|	test	2.6649	0.2353
04-17 03:09:07	074	train	3.2545	0.2152	|	test	2.6499	0.2379
04-17 03:10:57	075	train	3.2465	0.2181	|	test	2.6382	0.2471
04-17 03:12:47	076	train	3.2399	0.2181	|	test	2.6487	0.2427
04-17 03:14:37	077	train	3.2292	0.2186	|	test	2.6406	0.2400
04-17 03:16:27	078	train	3.2239	0.2206	|	test	2.6135	0.2358
04-17 03:18:18	079	train	3.2148	0.2217	|	test	2.6547	0.2455
04-17 03:20:08	080	train	3.2069	0.2240	|	test	2.5944	0.2475
04-17 03:21:58	081	train	3.2004	0.2242	|	test	2.6174	0.2459
04-17 03:23:47	082	train	3.1957	0.2263	|	test	2.5708	0.2443
04-17 03:25:37	083	train	3.1821	0.2274	|	test	2.5588	0.2465
04-17 03:27:28	084	train	3.1739	0.2320	|	test	2.5711	0.2561
04-17 03:29:18	085	train	3.1642	0.2305	|	test	2.5900	0.2495
04-17 03:31:08	086	train	3.1518	0.2353	|	test	2.5387	0.2522
04-17 03:32:58	087	train	3.1365	0.2362	|	test	2.5641	0.2539
04-17 03:34:48	088	train	3.1249	0.2376	|	test	2.5438	0.2583
04-17 03:36:39	089	train	3.1154	0.2399	|	test	2.5485	0.2610
04-17 03:38:29	090	train	3.0977	0.2420	|	test	2.5084	0.2594
04-17 03:40:19	091	train	3.0907	0.2473	|	test	2.5049	0.2652
04-17 03:42:10	092	train	3.0728	0.2479	|	test	2.4667	0.2686
04-17 03:44:01	093	train	3.0549	0.2511	|	test	2.4616	0.2693
04-17 03:45:51	094	train	3.0361	0.2540	|	test	2.4583	0.2713
04-17 03:47:41	095	train	3.0164	0.2583	|	test	2.4388	0.2676
04-17 03:49:31	096	train	2.9894	0.2632	|	test	2.4249	0.2761
04-17 03:51:21	097	train	2.9654	0.2684	|	test	2.4007	0.2771
04-17 03:53:11	098	train	2.9365	0.2733	|	test	2.3738	0.2772
04-17 03:55:01	099	train	2.9057	0.2769	|	test	2.3670	0.2850
04-17 03:56:51	100	train	2.8677	0.2882	|	test	2.3323	0.2794
04-17 03:56:51	end training a model
04-17 03:56:51	elapsed time:3:03:30.994786

