04-13 23:30:07	##### arguments #####
04-13 23:30:07	dataset: cifar10
04-13 23:30:07	model_config: config/model/wrn-16-4.json
04-13 23:30:07	-- num_layer: 16
04-13 23:30:07	-- widening_factor: 4
04-13 23:30:07	run_config: config/run/std_train.json
04-13 23:30:07	-- batch_size_train: 128
04-13 23:30:07	-- batch_size_eval: 256
04-13 23:30:07	-- num_epochs: 100
04-13 23:30:07	-- learning_rate: 0.1
04-13 23:30:07	-- learning_rate_scheduler: cyclicLR
04-13 23:30:07	-- momentum: 0.9
04-13 23:30:07	-- weight_decay: 0.0005
04-13 23:30:07	-- dropout_rate: 0
04-13 23:30:07	device: cuda (1 GPUs)
04-13 23:30:07	output_path: results/cifar10/baselines/standard/wrn-16-4
04-13 23:30:07	log_file: results/cifar10/baselines/standard/wrn-16-4/std_train_wrn_log.txt

04-13 23:30:07	start loading datasets: cifar10
04-13 23:30:08	loaded 50000 dataset_train samples
04-13 23:30:08	loaded 10000 dataset_test samples
04-13 23:30:08	elapsed time: 0:00:01.182473

04-13 23:30:08	start initializing a model
04-13 23:30:08	end initializing a model
04-13 23:30:08	elapsed time:0:00:00.048167

04-13 23:30:08	start setting trainer configurations
04-13 23:30:12	end setting trainer configurations
04-13 23:30:12	elapsed time:0:00:03.764672

04-13 23:30:12	start training a model
04-13 23:30:12	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-13 23:30:28	001	train	2.0575	0.2462	|	test	1.7087	0.3814
04-13 23:30:44	002	train	1.5588	0.4324	|	test	1.3544	0.5083
04-13 23:31:00	003	train	1.2780	0.5394	|	test	1.1337	0.5900
04-13 23:31:16	004	train	1.0792	0.6152	|	test	1.0968	0.6180
04-13 23:31:32	005	train	0.9143	0.6760	|	test	0.9223	0.6665
04-13 23:31:48	006	train	0.7881	0.7225	|	test	0.8933	0.6941
04-13 23:32:04	007	train	0.6903	0.7594	|	test	0.6835	0.7623
04-13 23:32:20	008	train	0.6195	0.7833	|	test	0.7661	0.7491
04-13 23:32:36	009	train	0.5587	0.8073	|	test	0.6460	0.7891
04-13 23:32:52	010	train	0.5088	0.8231	|	test	0.8839	0.7350
04-13 23:33:08	011	train	0.4730	0.8362	|	test	0.5618	0.8159
04-13 23:33:23	012	train	0.4378	0.8489	|	test	0.4942	0.8315
04-13 23:33:40	013	train	0.4091	0.8588	|	test	0.5117	0.8314
04-13 23:33:55	014	train	0.3879	0.8642	|	test	0.4626	0.8444
04-13 23:34:12	015	train	0.3665	0.8742	|	test	0.4910	0.8334
04-13 23:34:29	016	train	0.3527	0.8783	|	test	0.4062	0.8589
04-13 23:34:45	017	train	0.3324	0.8853	|	test	0.4628	0.8466
04-13 23:35:01	018	train	0.3222	0.8894	|	test	0.4768	0.8456
04-13 23:35:18	019	train	0.3068	0.8957	|	test	0.4749	0.8432
04-13 23:35:34	020	train	0.2966	0.8979	|	test	0.5234	0.8243
04-13 23:35:51	021	train	0.2896	0.9008	|	test	0.5404	0.8278
04-13 23:36:07	022	train	0.2787	0.9042	|	test	0.5854	0.8147
04-13 23:36:24	023	train	0.2735	0.9062	|	test	0.4835	0.8490
04-13 23:36:40	024	train	0.2682	0.9077	|	test	0.4731	0.8412
04-13 23:36:56	025	train	0.2590	0.9111	|	test	0.3690	0.8820
04-13 23:37:12	026	train	0.2591	0.9112	|	test	0.5042	0.8413
04-13 23:37:28	027	train	0.2541	0.9125	|	test	0.4470	0.8504
04-13 23:37:45	028	train	0.2476	0.9143	|	test	0.6384	0.8050
04-13 23:38:00	029	train	0.2497	0.9143	|	test	0.3370	0.8829
04-13 23:38:16	030	train	0.2484	0.9136	|	test	0.4651	0.8443
04-13 23:38:33	031	train	0.2393	0.9174	|	test	0.4533	0.8609
04-13 23:38:49	032	train	0.2398	0.9172	|	test	0.4156	0.8656
04-13 23:39:05	033	train	0.2359	0.9191	|	test	0.4007	0.8695
04-13 23:39:21	034	train	0.2362	0.9180	|	test	0.4183	0.8592
04-13 23:39:37	035	train	0.2301	0.9202	|	test	0.3434	0.8825
04-13 23:39:53	036	train	0.2354	0.9193	|	test	0.5059	0.8409
04-13 23:40:09	037	train	0.2324	0.9194	|	test	0.5379	0.8357
04-13 23:40:25	038	train	0.2249	0.9238	|	test	0.3895	0.8797
04-13 23:40:42	039	train	0.2262	0.9227	|	test	0.3719	0.8796
04-13 23:40:58	040	train	0.2255	0.9231	|	test	0.4069	0.8663
04-13 23:41:14	041	train	0.2247	0.9228	|	test	0.5163	0.8326
04-13 23:41:30	042	train	0.2253	0.9229	|	test	0.3598	0.8784
04-13 23:41:46	043	train	0.2193	0.9249	|	test	0.4882	0.8490
04-13 23:42:02	044	train	0.2244	0.9225	|	test	0.4349	0.8642
04-13 23:42:18	045	train	0.2182	0.9253	|	test	0.3826	0.8766
04-13 23:42:34	046	train	0.2180	0.9248	|	test	0.4924	0.8467
04-13 23:42:51	047	train	0.2190	0.9246	|	test	0.4421	0.8551
04-13 23:43:07	048	train	0.2212	0.9238	|	test	0.3733	0.8764
04-13 23:43:23	049	train	0.2182	0.9253	|	test	0.3720	0.8762
04-13 23:43:39	050	train	0.2199	0.9236	|	test	0.5132	0.8450
04-13 23:43:55	051	train	0.2144	0.9269	|	test	0.4649	0.8572
04-13 23:44:10	052	train	0.2102	0.9273	|	test	0.4108	0.8679
04-13 23:44:26	053	train	0.2066	0.9291	|	test	0.4810	0.8515
