04-16 07:00:13	##### arguments #####
04-16 07:00:13	dataset: cifar10
04-16 07:00:13	model_config: config/model/wrn-16-1.json
04-16 07:00:13	-- num_layer: 16
04-16 07:00:13	-- widening_factor: 1
04-16 07:00:13	run_config: config/run/adv_train.json
04-16 07:00:13	-- batch_size_train: 128
04-16 07:00:13	-- batch_size_eval: 256
04-16 07:00:13	-- num_epochs: 100
04-16 07:00:13	-- learning_rate: 0.1
04-16 07:00:13	-- learning_rate_scheduler: cyclicLR
04-16 07:00:13	-- momentum: 0.9
04-16 07:00:13	-- weight_decay: 0.0005
04-16 07:00:13	-- dropout_rate: 0
04-16 07:00:13	-- adv_train_type: pgd
04-16 07:00:13	-- epsilon_train: 8
04-16 07:00:13	-- alpha_train: 2
04-16 07:00:13	-- restarts_train: 1
04-16 07:00:13	-- attack_iters_train: 7
04-16 07:00:13	-- epsilon_eval: 8
04-16 07:00:13	-- alpha_eval: 2
04-16 07:00:13	-- restarts_eval: 1
04-16 07:00:13	-- attack_iters_eval: 5
04-16 07:00:13	device: cuda (1 GPUs)
04-16 07:00:13	output_path: results/cifar10/baselines/adversarial/wrn-16-1
04-16 07:00:13	log_file: results/cifar10/baselines/adversarial/wrn-16-1/adv_train_wrn_log.txt

04-16 07:00:13	start loading datasets: cifar10
04-16 07:00:15	loaded 50000 dataset_train samples
04-16 07:00:15	loaded 10000 dataset_test samples
04-16 07:00:15	elapsed time: 0:00:01.201737

04-16 07:00:15	start initializing a model
04-16 07:00:15	end initializing a model
04-16 07:00:15	elapsed time:0:00:00.011042

04-16 07:00:15	start setting trainer configurations
04-16 07:00:18	end setting trainer configurations
04-16 07:00:18	elapsed time:0:00:03.819279

04-16 07:00:18	start training a model
04-16 07:00:18	ep	split	adv_loss	adv_acc	|	split	adv_loss	adv_acc
04-16 07:01:03	001	train	2.8195	0.0040	|	test	2.2726	0.0396
04-16 07:01:47	002	train	2.3277	0.0589	|	test	2.2639	0.1014
04-16 07:02:31	003	train	2.2849	0.1167	|	test	2.2072	0.1654
04-16 07:03:14	004	train	2.2164	0.1667	|	test	2.0727	0.2003
04-16 07:03:58	005	train	2.1505	0.1970	|	test	1.9941	0.2430
04-16 07:04:42	006	train	2.1115	0.2171	|	test	1.9446	0.2571
04-16 07:05:25	007	train	2.0779	0.2277	|	test	1.8842	0.2616
04-16 07:06:09	008	train	2.0490	0.2348	|	test	1.8538	0.2724
04-16 07:06:53	009	train	2.0224	0.2452	|	test	1.7953	0.2920
04-16 07:07:36	010	train	1.9997	0.2531	|	test	1.7506	0.2900
04-16 07:08:20	011	train	1.9777	0.2595	|	test	1.7271	0.3036
04-16 07:09:04	012	train	1.9574	0.2660	|	test	1.7021	0.3136
04-16 07:09:48	013	train	1.9383	0.2714	|	test	1.6898	0.3238
04-16 07:10:32	014	train	1.9227	0.2771	|	test	1.6541	0.3270
04-16 07:11:15	015	train	1.9040	0.2849	|	test	1.6487	0.3263
04-16 07:11:59	016	train	1.8882	0.2890	|	test	1.6276	0.3365
04-16 07:12:43	017	train	1.8731	0.2951	|	test	1.6012	0.3323
04-16 07:13:26	018	train	1.8573	0.3011	|	test	1.5963	0.3488
04-16 07:14:10	019	train	1.8438	0.3054	|	test	1.5786	0.3538
04-16 07:14:54	020	train	1.8270	0.3098	|	test	1.5496	0.3593
04-16 07:15:37	021	train	1.8166	0.3163	|	test	1.5164	0.3722
04-16 07:16:21	022	train	1.8007	0.3218	|	test	1.5024	0.3739
04-16 07:17:05	023	train	1.7891	0.3245	|	test	1.4792	0.3709
04-16 07:17:49	024	train	1.7754	0.3295	|	test	1.4786	0.3722
