04-14 12:39:16	##### arguments #####
04-14 12:39:16	dataset: cifar100
04-14 12:39:16	model_config: config/model/wrn-16-4.json
04-14 12:39:16	-- num_layer: 16
04-14 12:39:16	-- widening_factor: 4
04-14 12:39:16	run_config: config/run/std_train.json
04-14 12:39:16	-- batch_size_train: 128
04-14 12:39:16	-- batch_size_eval: 256
04-14 12:39:16	-- num_epochs: 100
04-14 12:39:16	-- learning_rate: 0.1
04-14 12:39:16	-- learning_rate_scheduler: cyclicLR
04-14 12:39:16	-- momentum: 0.9
04-14 12:39:16	-- weight_decay: 0.0005
04-14 12:39:16	-- dropout_rate: 0
04-14 12:39:16	device: cuda (1 GPUs)
04-14 12:39:16	output_path: results/cifar100/baselines/standard/wrn-16-4
04-14 12:39:16	log_file: results/cifar100/baselines/standard/wrn-16-4/std_train_wrn_log.txt

04-14 12:39:16	start loading datasets: cifar100
04-14 12:39:17	loaded 50000 dataset_train samples
04-14 12:39:17	loaded 10000 dataset_test samples
04-14 12:39:17	elapsed time: 0:00:01.467209

04-14 12:39:17	start initializing a model
04-14 12:39:17	end initializing a model
04-14 12:39:17	elapsed time:0:00:00.047359

04-14 12:39:17	start setting trainer configurations
04-14 12:39:21	end setting trainer configurations
04-14 12:39:21	elapsed time:0:00:03.854686

04-14 12:39:21	start training a model
04-14 12:39:21	ep	split	std_loss	std_acc	|	split	std_loss	std_acc
04-14 12:39:38	001	train	4.5513	0.0334	|	test	4.2548	0.0713
04-14 12:39:54	002	train	4.0567	0.0942	|	test	3.8116	0.1297
04-14 12:40:10	003	train	3.6806	0.1437	|	test	3.5141	0.1683
04-14 12:40:26	004	train	3.3685	0.1948	|	test	3.1662	0.2284
04-14 12:40:42	005	train	3.0238	0.2551	|	test	2.8978	0.2706
04-14 12:40:58	006	train	2.7151	0.3091	|	test	2.6855	0.3102
04-14 12:41:14	007	train	2.4573	0.3571	|	test	2.3778	0.3698
04-14 12:41:30	008	train	2.2329	0.4072	|	test	2.3109	0.3918
04-14 12:41:46	009	train	2.0450	0.4489	|	test	2.1439	0.4271
04-14 12:42:02	010	train	1.8916	0.4831	|	test	2.0371	0.4568
04-14 12:42:18	011	train	1.7560	0.5163	|	test	1.9586	0.4757
04-14 12:42:34	012	train	1.6432	0.5421	|	test	1.9051	0.4834
04-14 12:42:50	013	train	1.5438	0.5662	|	test	1.7359	0.5231
04-14 12:43:06	014	train	1.4578	0.5898	|	test	1.7531	0.5260
04-14 12:43:22	015	train	1.3859	0.6054	|	test	1.8531	0.5073
04-14 12:43:38	016	train	1.3199	0.6219	|	test	1.5113	0.5784
04-14 12:43:54	017	train	1.2610	0.6387	|	test	1.5426	0.5671
04-14 12:44:10	018	train	1.2086	0.6491	|	test	1.7314	0.5394
